Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,PTSPG,APG,GPG,EVG,PPG,SHG,GWG,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
1,Connor McDavid,29,EDM,C,82,48,90,138,17,44,1.682926829,1.097560976,0.585365854,34,13,1,4,306,15.7,507,1884:48:00,22:59,457,466,49.5,30,40,32,134
2,Nikita Kucherov,32,TBL,RW,76,44,86,130,43,50,1.710526316,1.131578947,0.578947368,35,8,1,8,231,19,533,1545:28:00,20:20,0,2,0,29,36,21,124
3,Nathan MacKinnon,30,COL,C,80,53,74,127,57,39,1.5875,0.925,0.6625,42,11,0,7,350,15.1,598,1780:57:00,22:16,681,653,51,35,64,25,165
4,Macklin Celebrini,19,SJS,F,82,45,70,115,8,44,1.402439024,0.853658537,0.548780488,37,8,0,5,287,15.7,543,1747:54:00,21:19,625,660,48.6,53,53,41,150
5,Mark Scheifele,32,WPG,C,82,36,67,103,0,43,1.256097561,0.817073171,0.43902439,29,7,0,6,175,20.6,328,1763:20:00,21:30,594,679,46.7,47,32,31,129
6,Nick Suzuki,26,MTL,C,82,29,72,101,37,28,1.231707317,0.87804878,0.353658537,17,11,1,2,183,15.8,385,1707:17:00,20:49,731,718,50.4,62,62,29,72
7,Martin Nečas,27,COL,C,78,38,62,100,47,30,1.282051282,0.794871795,0.487179487,29,9,0,5,206,18.4,417,1676:55:00,21:30,9,12,42.9,26,85,23,123
8,David Pastrňák,29,BOS,RW,77,29,71,100,4,72,1.298701299,0.922077922,0.376623377,19,10,0,4,261,11.1,562,1590:29:00,20:39,2,7,22.2,32,86,32,134
9,Leon Draisaitl,30,EDM,C,65,35,62,97,13,26,1.492307692,0.953846154,0.538461538,18,16,1,3,186,18.8,369,1402:23:00,21:35,628,475,56.9,15,34,26,106
10,Jason Robertson,26,DAL,LW,82,45,51,96,22,32,1.170731707,0.62195122,0.548780488,30,15,0,9,294,15.3,552,1660:45:00,20:15,1,2,33.3,34,48,24,107
11,Evan Bouchard,26,EDM,D,82,21,74,95,25,30,1.158536585,0.902439024,0.256097561,14,7,0,5,221,9.5,468,2023:34:00,24:41:00,0,0,,101,29,33,123
12,Kyle Connor,29,WPG,LW,82,39,53,92,-2,16,1.12195122,0.646341463,0.475609756,32,5,2,5,274,14.2,498,1763:31:00,21:30,0,1,0,19,36,21,69
13,Jack Eichel,29,VEG,C,74,27,63,90,23,18,1.216216216,0.851351351,0.364864865,25,1,1,6,260,10.4,471,1568:52:00,21:12,558,613,47.7,40,35,28,120
14,Kirill Kaprizov,28,MIN,LW,78,45,44,89,10,28,1.141025641,0.564102564,0.576923077,26,19,0,7,268,16.8,534,1727:27:00,22:09,0,2,0,27,52,22,112
15,Cole Caufield,25,MTL,RW,81,51,37,88,29,14,1.086419753,0.456790123,0.62962963,40,11,0,12,258,19.8,462,1472:52:00,18:11,6,12,33.3,21,50,22,56
16,Jake Guentzel,31,TBL,C,81,38,50,88,13,61,1.086419753,0.617283951,0.469135802,28,8,2,5,220,17.3,385,1639:55:00,20:15,209,228,47.8,41,39,23,73
17,Clayton Keller,27,UTA,C,82,26,62,88,20,38,1.073170732,0.756097561,0.317073171,23,3,0,6,225,11.6,426,1564:59:00,19:05,13,21,38.2,32,8,26,105
18,Wyatt Johnston,22,DAL,C,82,45,41,86,-5,32,1.048780488,0.5,0.548780488,18,27,0,4,206,21.8,402,1650:07:00,20:07,402,442,47.6,55,56,23,62
19,Matt Boldy,24,MIN,LW,76,42,43,85,18,30,1.118421053,0.565789474,0.552631579,27,11,4,3,254,16.5,501,1563:15:00,20:34,55,69,44.4,58,60,34,86
20,Alex DeBrincat,28,DET,RW,82,41,44,85,8,19,1.036585366,0.536585366,0.5,26,15,0,6,287,14.3,579,1517:01:00,18:30,19,31,38,39,38,43,87
21,Artemi Panarin,34,2TM,LW,78,28,56,84,-7,20,1.076923077,0.717948718,0.358974359,24,4,0,4,224,12.5,512,1625:42:00,20:51,1,0,100,16,11,25,105
21,Artemi Panarin,34,NYR,LW,52,19,38,57,-16,14,1.096153846,0.730769231,0.365384615,17,2,0,3,158,12,361,1087:20:00,20:55,1,0,100,11,8,15,69
21,Artemi Panarin,34,LAK,LW,26,9,18,27,9,6,1.038461538,0.692307692,0.346153846,7,2,0,1,66,13.6,151,538:22:00,20:42,0,0,,5,3,10,36
22,Tim Stützle,24,OTT,LW,80,34,49,83,7,39,1.0375,0.6125,0.425,23,9,2,5,194,17.5,364,1621:24:00,20:16,338,300,53,44,126,34,92
23,Tage Thompson,28,BUF,C,81,40,41,81,-6,35,1,0.50617284,0.49382716,34,6,0,5,272,14.7,557,1558:44:00,19:15,390,468,45.5,48,85,28,69
24,Zach Werenski,28,CBJ,D,75,22,59,81,7,18,1.08,0.786666667,0.293333333,18,4,0,2,260,8.5,590,1996:04:00,26:37:00,0,0,,94,30,35,125
25,Sebastian Aho,28,CAR,F,79,27,53,80,11,46,1.012658228,0.670886076,0.341772152,18,7,2,4,195,13.8,406,1549:23:00,19:37,596,585,50.5,23,63,31,109
26,Mitch Marner,28,VEG,RW,81,24,56,80,17,24,0.987654321,0.691358025,0.296296296,19,5,0,2,165,14.5,372,1616:34:00,19:57,150,222,40.3,46,24,40,104
27,Cale Makar,27,COL,D,75,20,59,79,32,24,1.053333333,0.786666667,0.266666667,16,4,0,4,199,10.1,546,1864:22:00,24:51:00,0,0,,117,35,40,86
28,William Nylander,29,TOR,RW,65,30,49,79,-14,16,1.215384615,0.753846154,0.461538462,23,7,0,4,156,19.2,308,1262:01:00,19:25,31,50,38.3,26,13,31,68
29,Lane Hutson,21,MTL,D,82,12,66,78,36,34,0.951219512,0.804878049,0.146341463,10,2,0,3,124,9.7,300,1949:19:00,23:46,0,0,,137,31,43,93
30,Mika Zibanejad,32,NYR,C,81,34,44,78,-20,14,0.962962963,0.543209877,0.419753086,16,16,2,3,215,15.8,416,1692:42:00,20:54,574,520,52.5,50,105,34,112
31,Jack Hughes,24,NJD,C,61,27,50,77,0,10,1.262295082,0.819672131,0.442622951,22,4,1,5,229,11.8,431,1300:15:00,21:19,145,272,34.8,32,4,37,126
32,Mikko Rantanen,29,DAL,RW,64,22,55,77,0,93,1.203125,0.859375,0.34375,16,6,0,1,139,15.8,288,1291:15:00,20:11,37,47,44,30,48,24,75
33,Lucas Raymond,23,DET,LW,80,25,51,76,1,22,0.95,0.6375,0.3125,18,7,0,5,173,14.5,367,1503:55:00,18:48,1,0,100,29,43,31,76
34,Quinn Hughes,26,2TM,D,74,7,69,76,-4,32,1.027027027,0.932432432,0.094594595,5,2,0,1,187,3.7,476,2052:35:00,27:44:00,0,0,,87,7,34,116
34,Quinn Hughes,26,VAN,D,26,2,21,23,-10,12,0.884615385,0.807692308,0.076923077,0,2,0,0,74,2.7,190,713:08:00,27:26:00,0,0,,32,1,10,41
34,Quinn Hughes,26,MIN,D,48,5,48,53,6,20,1.104166667,1,0.104166667,5,0,0,1,113,4.4,286,1339:27:00,27:54:00,0,0,,55,6,24,75
35,Connor Bedard,20,CHI,C,69,30,45,75,-18,50,1.086956522,0.652173913,0.434782609,23,7,0,5,226,13.3,421,1439:48:00,20:52,315,354,47.1,27,31,27,86
36,Filip Forsberg,31,NSH,C,82,40,35,75,-2,34,0.914634146,0.426829268,0.487804878,29,11,0,3,246,16.3,551,1548:43:00,18:53,10,22,31.3,33,124,48,105
37,Sidney Crosby,38,PIT,C,68,29,45,74,0,44,1.088235294,0.661764706,0.426470588,19,10,0,4,160,18.1,289,1307:42:00,19:14,773,628,55.2,30,60,24,73
38,Rasmus Dahlin,25,BUF,D,77,19,55,74,18,76,0.961038961,0.714285714,0.246753247,13,6,0,0,195,9.7,436,1862:18:00,24:11:00,0,0,,79,67,32,115
39,Brandon Hagel,27,TBL,LW,71,36,38,74,34,58,1.042253521,0.535211268,0.507042254,30,5,1,6,214,16.8,459,1402:58:00,19:46,26,37,41.3,38,42,35,75
40,Ryan O'Reilly,34,NSH,C,81,25,49,74,8,22,0.913580247,0.604938272,0.308641975,18,5,2,8,153,16.3,256,1651:59:00,20:24,739,603,55.1,66,17,50,49
41,Nick Schmaltz,29,UTA,C,82,33,41,74,17,28,0.902439024,0.5,0.402439024,20,11,2,9,207,15.9,397,1617:19:00,19:43,448,526,46,52,23,45,94
42,Dylan Guenther,22,UTA,RW,79,40,33,73,7,28,0.924050633,0.417721519,0.506329114,31,9,0,6,242,16.5,530,1374:19:00,17:24,26,37,41.3,28,66,16,68
43,Adrian Kempe,29,LAK,LW,81,36,37,73,14,58,0.901234568,0.456790123,0.444444444,32,4,0,8,226,15.9,508,1563:46:00,19:18,54,95,36.2,39,127,24,67
