RANK,SEASON,TEAM,AVG_AGE,GP,W,L,OL,PTS,PTS_PCT,GF,GA,SOW,SOL,SRS,SOS,GF_GAME,GA_GAME,PP,PPO,PP_PCT,PPA,PPOA,PK_PCT,SH,SHA,PIM_GAME,OPIM_GAME,S,SHOT_PCT,SA,SAVE_PCT,SO,SHOT_PCT_EV,SAVE_PCT_EV,PDO,CF,CA,CORSI_PCT,FF,FA,FENWICK_PCT,X_GF,X_GA,A_GF,A_GA,AX_DIFF,SCF,SCA,SCF_PCT,HDF,HDA,HDF_PCT,HDGF,HDC_PCT,HDGA,HDCO_PCT
1,20182019,Tampa Bay Lightning,27.1,82,62,16,4,128,0.78,319,221,6,1,1.21,-0.05,3.89,2.7,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,8.9,0.927,101.7,3826,3595,51.6,2882,2733,51.3,185.1,172.6,206,157,37,1693,1660,50.5,380,325,53.9,71,15.7,62,16
2,20182019,Boston Bruins,28.7,82,49,24,9,107,0.652,257,212,2,3,0.52,-0.01,3.13,2.59,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,6.9,0.935,100.4,3872,3421,53.1,2955,2553,53.6,169.7,156.3,157,128,16,1579,1437,52.4,314,316,49.8,53,14.4,45,12.5
3,20182019,Calgary Flames,27.7,82,50,25,7,107,0.652,289,223,0,4,0.7,-0.06,3.52,2.72,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,8.4,0.924,100.8,3953,3386,53.9,2903,2560,53.1,184,155,188,149,10,1673,1549,51.9,357,332,51.8,71,16.6,44,11.7
4,20182019,Washington Capitals,28.8,82,48,26,8,104,0.634,274,248,4,1,0.35,-0.01,3.34,3.02,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11,2584,0.904,4,9.2,0.927,101.8,3715,3860,49,2768,2884,49,162.4,178,197,161,52,1624,1687,49,316,401,44.1,50,13.7,56,12.3
5,20182019,New York Islanders,28.4,82,48,27,7,103,0.628,223,191,5,5,0.38,-0.01,2.72,2.33,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,7.9,0.94,101.9,3548,3867,47.8,2616,2803,48.3,175.1,169.3,162,128,28,1631,1585,50.7,368,330,52.7,66,15.2,51,13.4
6,20182019,San Jose Sharks,29.4,82,46,27,9,101,0.616,289,258,0,3,0.3,-0.04,3.52,3.15,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5,8.3,0.906,98.9,4138,3404,54.9,3021,2515,54.6,191,167.9,193,186,-16,1741,1563,52.7,431,334,56.3,69,13.8,59,15
7,20182019,Toronto Maple Leafs,27.5,82,46,28,8,100,0.61,286,249,0,2,0.42,-0.01,3.49,3.04,46,211,21.8,41,204,79.9,5,9,6.1,6.7,2736,10.5,2717,0.908,3,8.6,0.929,101.6,4396,4105,51.7,3184,3183,50,202,185.9,206,171,19,1930,1855,51,405,350,53.6,56,12.1,54,13.4
8,20182019,Pittsburgh Penguins,28.4,82,44,26,12,100,0.61,271,238,2,3,0.38,-0.01,3.3,2.9,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7,7.6,0.935,101.2,3919,3964,49.7,2957,2943,50.1,189,172.7,182,150,16,1733,1617,51.7,392,341,53.5,56,12.5,40,10.5
9,20182019,Nashville Predators,28.9,82,47,29,6,100,0.61,236,212,4,2,0.31,-0.01,2.88,2.59,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7,7.2,0.932,100.4,3904,3571,52.2,2952,2683,52.4,171.7,172,165,143,22,1617,1590,50.4,339,338,50.1,52,13.3,46,12
10,20182019,Winnipeg Jets,26.6,82,47,30,5,99,0.604,270,243,2,1,0.33,-0.02,3.29,2.96,62,250,24.8,52,250,79.2,10,7,9.3,8.7,2557,10.6,2741,0.911,3,7.8,0.929,100.6,3693,3853,48.9,2761,2900,48.8,159.1,173.2,168,163,19,1495,1601,48.3,317,372,46,57,15.2,64,14.7
11,20182019,Carolina Hurricanes,26.8,82,46,29,7,99,0.604,243,221,2,2,0.26,-0.01,2.96,2.7,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6,6.7,0.927,99.4,4276,3528,54.8,3217,2656,54.8,197.1,153.9,161,148,-30,1879,1529,55.1,470,351,57.2,58,11,52,12.9
12,20182019,St. Louis Blues,28,82,45,28,9,99,0.604,244,220,3,3,0.28,-0.01,2.98,2.68,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9,7.5,0.927,100.2,3718,3501,51.5,2786,2571,52,188.6,160.1,167,147,-9,1682,1584,51.5,365,297,55.1,57,13.5,58,16.3
13,20182019,Columbus Blue Jackets,26.6,82,47,31,4,98,0.598,256,231,2,1,0.31,-0.01,3.12,2.82,34,221,15.38,30,200,85,8,6,6.2,6.8,2592,9.9,2418,0.904,9,8.1,0.922,100.3,3748,3717,50.2,2910,2788,51.1,186.9,178.8,187,170,9,1672,1585,51.3,335,323,50.9,54,13.9,45,12.2
14,20182019,Montreal Canadiens,27.9,82,44,30,8,96,0.585,246,236,3,0,0.16,0,3,2.88,31,234,13.25,46,241,80.91,5,4,8.3,8.3,2796,8.8,2548,0.907,4,7.5,0.925,100.1,4362,3694,54.1,3139,2736,53.4,191.7,166.9,188,163,0,1748,1588,52.4,404,332,54.9,64,13.7,52,13.5
15,20182019,Vegas Golden Knights,29.2,82,43,32,7,93,0.567,246,228,3,2,0.19,-0.04,3,2.78,39,232,16.81,44,230,80.87,11,2,7.1,7.2,2814,8.7,2399,0.905,9,7.2,0.922,99.4,4184,3515,54.3,3068,2595,54.2,196.1,168.3,173,162,-17,1796,1555,53.6,420,345,54.9,60,12.5,55,13.8
16,20182019,Dallas Stars,28.3,82,43,32,7,93,0.567,209,200,1,2,0.09,0,2.55,2.44,45,214,21.03,41,238,82.77,4,2,7.7,7.3,2519,8.3,2591,0.923,10,6.4,0.939,100.3,3632,3887,48.3,2664,2836,48.4,175,170.8,136,134,-2,1633,1555,51.2,373,335,52.7,48,11.4,42,11.1
17,20182019,Colorado Avalanche,27,82,38,30,14,90,0.549,258,244,2,2,0.17,-0.01,3.15,2.98,63,286,22.03,58,272,78.68,9,5,9.4,9.6,2676,9.6,2619,0.907,5,7.1,0.928,99.9,3695,3716,49.9,2727,2701,50.2,175.7,167.1,157,154,-6,1618,1537,51.3,342,359,48.8,57,14.3,53,12.9
18,20182019,Arizona Coyotes,27.2,82,39,35,8,86,0.524,209,220,4,3,-0.14,-0.02,2.55,2.68,42,258,16.28,34,226,84.96,16,9,7.1,8.2,2522,8.3,2526,0.913,6,6.2,0.927,99,3738,3908,48.9,2769,2837,49.4,159.1,169.1,132,157,-15,1559,1585,49.6,365,380,49,30,7.6,59,13.4
19,20182019,Florida Panthers,28,82,36,32,14,86,0.524,264,273,3,7,-0.14,0.02,3.22,3.33,72,269,26.77,43,230,81.3,3,13,8.4,9.2,2705,9.8,2516,0.891,1,7.3,0.914,98.7,3642,3730,49.4,2792,2795,50,162.4,173,162,190,-17,1523,1533,49.8,296,369,44.5,62,17.3,64,14.8
20,20182019,Chicago Blackhawks,28.5,82,36,34,12,84,0.512,267,291,3,1,-0.25,0.02,3.26,3.55,48,238,20.17,63,231,72.73,6,7,7.3,7.1,2669,10,2852,0.898,2,7.9,0.925,100.4,3833,3940,49.3,2800,2988,48.4,174.2,205.7,183,185,30,1609,1866,46.3,300,436,40.8,47,13.5,69,13.7
21,20182019,Minnesota Wild,29.5,82,37,36,9,83,0.506,210,233,1,4,-0.3,0.02,2.56,2.84,49,241,20.33,44,240,81.67,5,4,8,8.5,2567,8.2,2419,0.904,2,6.4,0.923,98.6,3812,3670,50.9,2868,2662,51.9,170.4,145.5,141,156,-40,1626,1386,54,358,279,56.2,48,11.8,46,14.2
22,20182019,Philadelphia Flyers,26.6,82,37,37,8,82,0.5,241,280,3,1,-0.42,0.03,2.94,3.41,40,234,17.09,51,237,78.48,4,11,8.9,8.3,2583,9.3,2665,0.895,3,7.7,0.917,99.4,3698,3939,48.4,2739,2863,48.9,164.3,170.8,165,191,-20,1497,1571,48.8,357,364,49.5,76,17.6,61,14.4
23,20182019,Vancouver Canucks,26.9,82,35,36,11,81,0.494,219,248,6,6,-0.35,0.01,2.67,3.02,43,251,17.13,48,254,81.1,7,8,8.8,8.7,2433,9,2597,0.905,1,7.2,0.923,99.5,3553,3863,47.9,2651,2867,48,150.6,181,146,175,1,1488,1716,46.4,295,361,45,38,11.4,60,14.3
24,20182019,Anaheim Ducks,27.5,82,35,37,10,80,0.488,196,248,3,3,-0.63,0.01,2.39,3.02,36,212,16.98,55,271,79.7,5,10,9,7.2,2271,8.6,2725,0.909,4,6.9,0.931,99.9,3595,3957,47.6,2672,2984,47.2,151.9,186.6,136,154,17,1517,1771,46.1,294,397,42.5,37,11.2,59,12.9
25,20182019,Edmonton Oilers,27.2,82,35,38,9,79,0.482,229,271,3,3,-0.51,0.01,2.79,3.3,47,222,21.17,62,246,74.8,10,7,9.2,7.7,2392,9.6,2599,0.896,5,7.1,0.921,99.3,3552,3850,48,2629,2876,47.8,162.5,174.6,146,179,-21,1527,1664,47.9,330,353,48.3,47,12.5,49,12.2
26,20182019,New York Rangers,27.4,82,32,36,14,78,0.476,221,267,6,5,-0.52,0.03,2.7,3.26,44,227,19.38,58,266,78.2,7,4,10.4,8.5,2393,9.2,2774,0.904,2,7.2,0.925,99.7,3384,3960,46.1,2566,2969,46.4,167.7,185.4,145,173,-10,1506,1747,46.3,358,381,48.4,56,13.5,52,12
27,20182019,Buffalo Sabres,26.6,82,33,39,10,76,0.463,221,268,5,3,-0.51,0.04,2.7,3.27,46,236,19.49,41,215,80.93,3,9,7,7.5,2697,8.2,2704,0.901,2,6.7,0.922,98.9,3754,3759,50,2913,2934,49.8,167.3,183.9,154,185,-14,1562,1662,48.4,303,338,47.3,54,15.1,57,14.4
28,20182019,Detroit Red Wings,29.3,82,32,40,10,74,0.451,224,272,3,5,-0.57,0.04,2.73,3.32,39,216,18.06,56,245,77.14,7,7,7.9,7.3,2394,9.4,2761,0.901,2,7.2,0.925,99.8,3505,3937,47.1,2606,3024,46.3,157.3,190,147,178,2,1532,1738,46.9,293,387,43.1,42,12.5,53,12
29,20182019,New Jersey Devils,27.5,82,31,41,10,72,0.439,219,271,3,4,-0.61,0.04,2.67,3.3,45,254,17.72,40,255,84.31,10,10,9.1,9,2488,8.8,2592,0.895,6,7.1,0.918,98.9,3386,3836,46.9,2632,2910,47.5,161.2,165.9,147,184,-32,1474,1527,49.1,307,306,50.1,53,14.7,56,15.5
30,20182019,Los Angeles Kings,29.3,82,31,42,9,71,0.433,199,259,3,4,-0.73,0.02,2.43,3.16,35,221,15.84,54,230,76.52,4,13,8.1,8,2358,8.4,2578,0.9,5,7,0.924,99.4,3623,3911,48.1,2675,2939,47.6,149.5,171,141,170,-8,1547,1645,48.5,310,322,49.1,36,10.4,51,13.7
31,20182019,Ottawa Senators,27.3,82,29,47,6,64,0.39,242,301,0,1,-0.69,0.05,2.95,3.67,46,226,20.35,45,216,79.17,4,8,8.5,8.3,2429,10,2931,0.897,4,8.1,0.915,99.6,3612,4422,45,2717,3251,45.5,165.6,192.9,172,219,-20,1529,1752,46.6,358,398,47.4,58,13.9,69,14.8
1,20192020,Boston Bruins,29.1,70,44,14,12,100,0.714,227,167,0,7,0.74,-0.02,3.24,2.39,57,226,25.22,34,215,84.19,5,7,9.7,10.5,2247,10.1,2103,0.921,8,7.8,0.937,101.5,3003,2905,50.8,2287,2208,50.9,133.2,122.4,141,106,24,1366,1307,51.1,368,405,47.6,62,14.4,48,10.6
2,20192020,St. Louis Blues,28.4,71,42,19,10,94,0.662,223,190,2,3,0.47,0.02,3.14,2.68,49,202,24.26,42,203,79.31,5,6,7.2,7.4,2179,10.2,2100,0.91,5,8.1,0.932,101.3,2944,2845,50.9,2262,2196,50.7,145.4,140.5,151,117,29,1414,1459,49.2,368,447,45.2,52,12.4,47,9.5
3,20192020,Tampa Bay Lightning,27.7,70,43,21,6,92,0.657,243,194,2,1,0.71,0,3.47,2.77,49,211,23.22,43,231,81.39,6,7,10.3,9.9,2176,11.2,2165,0.91,4,8.8,0.93,101.9,3113,2856,52.2,2331,2197,51.5,147.9,135.8,162,123,27,1524,1344,53.1,485,377,56.3,73,13.1,49,11.5
4,20192020,Colorado Avalanche,26.8,70,42,20,8,92,0.657,236,190,1,1,0.64,-0.02,3.37,2.71,46,241,19.09,39,210,81.43,8,6,8.5,10,2257,10.5,2193,0.913,4,8.4,0.934,101.9,3242,3034,51.7,2379,2244,51.5,146.8,134.8,162,117,33,1467,1367,51.8,428,411,51,52,10.8,53,11.4
5,20192020,Washington Capitals,29,69,41,20,8,90,0.652,236,212,4,3,0.41,0.04,3.42,3.07,42,216,19.44,42,241,82.57,6,9,10.1,9.5,2206,10.7,2084,0.898,1,8.6,0.92,100.5,3096,2907,51.6,2319,2202,51.3,140.4,138.6,155,141,12,1481,1327,52.7,477,456,51.1,76,13.7,58,11.3
6,20192020,Philadelphia Flyers,27.2,69,41,21,7,89,0.645,227,191,5,5,0.52,0,3.29,2.77,47,226,20.8,38,209,81.82,8,6,7.6,9,2166,10.5,1977,0.903,3,8.6,0.92,100.6,2953,2826,51.1,2222,2135,51,139.1,129.7,154,135,10,1395,1316,51.5,441,405,52.1,69,13.5,60,12.9
7,20192020,Vegas Golden Knights,29.2,71,39,24,8,86,0.606,224,209,3,2,0.21,-0.02,3.15,2.94,42,191,21.99,50,214,76.64,9,3,8,7.3,2450,9.1,2082,0.9,6,7.3,0.917,99,3531,2907,54.8,2670,2179,55.1,178.8,132.3,151,145,-41,1754,1351,56.5,545,430,55.9,66,10.8,66,13.3
8,20192020,Pittsburgh Penguins,27.7,69,40,23,6,86,0.623,221,196,3,0,0.39,-0.02,3.2,2.84,42,211,19.91,34,190,82.11,6,5,7.5,8.2,2204,10,2051,0.904,4,8.1,0.922,100.2,3030,2914,51,2313,2180,51.5,147.6,137.3,152,138,4,1412,1316,51.8,432,414,51.1,77,15.1,61,12.8
9,20192020,Edmonton Oilers,28,71,37,25,9,83,0.585,223,215,2,2,0.09,-0.02,3.14,3.03,59,200,29.5,31,199,84.42,3,10,8.1,7.6,2100,10.6,2274,0.905,2,8,0.918,99.8,2987,3255,47.9,2255,2412,48.3,140.2,146.7,143,157,-8,1389,1505,48,397,448,47,60,13.1,66,12.8
10,20192020,Dallas Stars,29.4,69,37,24,8,82,0.594,178,174,2,3,0.09,0.05,2.58,2.52,42,199,21.11,44,217,79.72,5,4,8.2,7.4,2113,8.4,2177,0.92,2,6.3,0.936,99.9,2989,3054,49.5,2196,2249,49.4,142,136.2,109,112,-9,1474,1373,51.8,460,421,52.2,58,11.2,53,11.2
11,20192020,Columbus Blue Jackets,26.2,70,33,22,15,81,0.579,180,183,0,4,-0.12,-0.02,2.57,2.61,31,189,16.4,31,169,81.66,3,5,6.5,6.6,2272,7.9,2092,0.913,7,6.4,0.933,99.6,3116,3223,49.2,2413,2325,50.9,140.6,129.2,125,122,-8,1386,1380,50.1,393,382,50.7,50,11.3,53,12.2
12,20192020,Toronto Maple Leafs,26.8,70,36,25,9,81,0.579,237,222,1,5,0.15,-0.01,3.39,3.17,45,195,23.08,43,193,77.72,5,7,6.7,6.7,2302,10.3,2233,0.901,4,8.1,0.917,99.8,3406,3162,51.9,2550,2436,51.1,159.5,152.7,159,158,-6,1644,1528,51.8,490,460,51.6,69,12.3,76,14.2
13,20192020,Carolina Hurricanes,26.7,68,38,25,5,81,0.596,217,193,5,0,0.41,-0.02,3.19,2.84,46,206,22.33,39,243,83.95,10,4,8.6,8.4,2261,9.6,1994,0.903,6,7.6,0.919,99.5,3194,2692,54.3,2415,2090,53.6,145.8,135.3,142,136,-5,1516,1301,53.8,508,401,55.9,65,11.3,56,12.3
14,20192020,Winnipeg Jets,26.5,71,37,28,6,80,0.563,213,201,3,2,0.17,-0.01,3,2.83,42,205,20.49,39,174,77.59,6,3,7.4,8.6,2222,9.6,2315,0.913,6,7.5,0.929,100.4,3140,3319,48.6,2355,2586,47.7,135,163.1,138,142,24,1400,1633,46.2,406,545,42.7,57,12.3,70,11.4
15,20192020,New York Islanders,28.8,68,35,23,10,80,0.588,189,190,3,3,0.01,0.02,2.78,2.79,29,168,17.26,34,176,80.68,6,5,8.5,7.8,2016,9.4,2123,0.911,3,7.4,0.928,100.3,2957,3402,46.5,2167,2471,46.7,148.1,148.9,128,133,-4,1437,1507,48.8,454,461,49.6,57,11.2,65,12.4
16,20192020,Calgary Flames,27.7,70,36,27,7,79,0.564,204,214,6,1,-0.08,-0.01,2.91,3.06,41,193,21.24,35,196,82.14,6,9,8.8,8.5,2212,9.2,2271,0.906,4,7.1,0.923,99.4,3285,3246,50.3,2465,2496,49.7,148,145.6,133,149,-18,1555,1493,51,453,426,51.5,64,12.4,50,10.5
17,20192020,New York Rangers,26.2,70,37,28,5,79,0.564,233,220,1,2,0.15,-0.03,3.33,3.14,52,227,22.91,52,230,77.39,8,6,11.2,10.2,2175,10.7,2381,0.908,3,8.3,0.926,100.9,2952,3361,46.8,2274,2511,47.5,144.6,151.5,151,142,16,1428,1617,46.9,422,553,43.3,59,12.3,59,9.6
18,20192020,Vancouver Canucks,27.5,69,36,27,6,78,0.565,224,214,4,3,0.13,-0.03,3.25,3.1,57,236,24.15,42,215,80.47,5,4,9.3,9.5,2153,10.4,2297,0.907,2,8,0.923,100.4,3005,3212,48.3,2275,2359,49.1,138,152.7,142,146,11,1454,1557,48.3,463,457,50.3,61,11.6,67,12.8
