"GF","CORSI_PCT"
319,51.6
257,53.1
289,53.9
274,49
223,47.8
289,54.9
286,51.7
271,49.7
236,52.2
270,48.9
243,54.8
244,51.5
256,50.2
246,54.1
246,54.3
209,48.3
258,49.9
209,48.9
264,49.4
267,49.3
210,50.9
241,48.4
219,47.9
196,47.6
229,48
221,46.1
221,50
224,47.1
219,46.9
199,48.1
242,45
227,50.8
223,50.9
243,52.2
236,51.7
236,51.6
227,51.1
224,54.8
221,51
223,47.9
178,49.5
180,49.2
237,51.9
217,54.3
213,48.6
189,46.5
204,50.3
233,46.8
224,48.3
228,49.6
212,50.9
218,49.6
190,48.3
208,48.6
208,54.5
185,46.2
193,49.1
182,48.3
177,53
180,50.5
190,48.2
142,45.8
190,53.4
197,59.1
175,53.8
188,53.7
188,50.6
186,51
193,50.5
180,52.4
180,46.2
164,54.2
183,48.9
152,48.6
151,49.8
167,47.7
170,48.1
156,52.7
176,47.1
158,54.4
160,52
159,45.9
155,53
150,48.5
155,48.7
148,46
142,48.1
146,47.9
125,45.3
134,46.5
145,50.4
124,48.8
134,46.7
337,56.6
308,53
277,56.3
312,53.4
305,51.3
291,55.7
285,50.9
250,47.1
309,47.2
253,54.5
285,52.5
269,52.1
270,50.6
235,54.1
233,48.9
262,49.5
262,52.6
246,49.6
250,49.4
229,46
258,47.9
211,45.5
228,47.6
229,48.5
227,46
224,47.9
213,46
245,50.4
210,46.6
213,50.7
206,43.9
218,47
301,51.5
262,60.2
289,53.8
267,48.4
278,50.9
274,52.4
325,52.2
281,51.6
273,49.8
274,52.3
239,49.6
289,52.9
280,51.6
246,51.7
258,57.2
242,49.8
288,54.3
223,47.1
293,51.4
261,52
259,51.5
270,47.6
260,46.1
253,49.8
237,46.1
220,47.4
225,45
227,45.4
233,48.6
202,43.9
213,45
206,42.6
