"GF","PDO"
319,101.7
257,100.4
289,100.8
274,101.8
223,101.9
289,98.9
286,101.6
271,101.2
236,100.4
270,100.6
243,99.4
244,100.2
256,100.3
246,100.1
246,99.4
209,100.3
258,99.9
209,99
264,98.7
267,100.4
210,98.6
241,99.4
219,99.5
196,99.9
229,99.3
221,99.7
221,98.9
224,99.8
219,98.9
199,99.4
242,99.6
227,101.5
223,101.3
243,101.9
236,101.9
236,100.5
227,100.6
224,99
221,100.2
223,99.8
178,99.9
180,99.6
237,99.8
217,99.5
213,100.4
189,100.3
204,99.4
233,100.9
224,100.4
228,100.2
212,100.3
218,101
190,100.3
208,100.7
208,99.3
185,99.1
193,100.2
182,99.6
177,98.1
180,98
190,99.3
142,97.2
190,101.6
197,100.4
175,100.8
188,100.1
188,101.4
186,101.7
193,101.6
180,100.8
180,102
164,99.4
183,100.2
152,101.4
151,101.1
167,99.8
170,101
156,99.6
176,101.2
158,99
160,98.1
159,99.6
155,100.1
150,99.5
155,99
148,99.3
142,98.9
146,98.6
125,99.5
134,98.7
145,99.1
124,99.3
134,97.9
337,100.4
308,101.2
277,100.8
312,100.2
305,101.9
291,100.9
285,101.4
250,101
309,102
253,99.1
285,99.9
269,100.5
270,100.5
235,98.7
233,99.7
262,100.7
262,99.6
246,100.7
250,100
229,100.9
258,99.9
211,99.2
228,99.3
229,99
227,99.4
224,99.5
213,99
245,98.6
210,99.5
213,98.3
206,99.7
218,99.1
301,103
262,99.3
289,100.4
267,101
278,101.2
274,100.8
325,100.5
281,101
273,101.1
274,99.1
239,100.5
289,100.8
280,100.5
246,100.5
258,98.4
242,101.3
288,100.2
223,100.6
293,99.8
261,99.4
259,98.5
270,99.6
260,100.5
253,99.6
237,99.1
220,99.3
225,100.4
227,99.7
233,98.3
202,98.7
213,98.1
206,99.3
