"GF","X_GF"
319,185.1
257,169.7
289,184
274,162.4
223,175.1
289,191
286,202
271,189
236,171.7
270,159.1
243,197.1
244,188.6
256,186.9
246,191.7
246,196.1
209,175
258,175.7
209,159.1
264,162.4
267,174.2
210,170.4
241,164.3
219,150.6
196,151.9
229,162.5
221,167.7
221,167.3
224,157.3
219,161.2
199,149.5
242,165.6
227,133.2
223,145.4
243,147.9
236,146.8
236,140.4
227,139.1
224,178.8
221,147.6
223,140.2
178,142
180,140.6
237,159.5
217,145.8
213,135
189,148.1
204,148
233,144.6
224,138
228,137.8
212,139.1
218,134.8
190,138.4
208,154.2
208,163
185,133.2
193,127.5
182,137
177,142.3
180,140.1
190,139.7
142,124.6
190,132.5
197,131.9
175,123.1
188,129.1
188,110.4
186,137.9
193,111.3
180,117.2
180,111.6
164,115.2
183,117.2
152,125.6
151,110.6
167,95.9
170,105.4
156,115.8
176,102.6
158,117.1
160,106.3
159,115
155,115.5
150,104
155,104
148,113.2
142,103.1
146,123.7
125,102.3
134,102.4
145,112.9
124,102.5
134,104.8
337,230.4
308,187.3
277,189.6
312,211.6
305,185.3
291,198.9
285,182.7
250,162.3
309,185.2
253,196.2
285,192.5
269,198.1
270,174.9
235,182.9
233,176.6
262,160.5
262,204.8
246,172.2
250,188
229,175.2
258,162.4
211,161.3
228,171.2
229,158.3
227,172.3
224,162.5
213,155.8
245,185.7
210,163.6
213,160.5
206,149.3
218,165.6
301,187.3
262,191.5
289,196.6
267,184
278,195
274,183.8
325,199.6
281,178.2
273,175.3
274,180.4
239,163.6
289,172.5
280,191.5
246,167.2
258,191.9
242,183.1
288,205.6
223,165.6
293,188.8
261,198.5
259,171.4
270,167.7
260,170.8
253,178.6
237,150
220,166.3
225,149.6
227,151.3
233,175.2
202,149.7
213,159.8
206,150
