,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Brenden Aaronson,MF,us United States,25-251,1.eng Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Thelo Aasgaard,MF,no Norway,24-059,1.sct Rangers,2002,1,1,90,1,1,0,1,1,0,0,0,0,1,0,1,1,1,Matches
3,Hamza Abdelkarim,FW,eg Egypt,18-180,4.es Barcelona B,2008,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Hossam Abdelmaguid,DF,eg Egypt,25-061,1.eg Zamalek SC,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Mohamed Abdelmonem,DF,eg Egypt,27-149,1.fr Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Ali Abdi,DF,tn Tunisia,32-192,1.fr Nice,1993,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Saud Abdulhamid,DF,sa Saudi Arabia,26-347,1.fr Lens,1999,3,3,269,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
8,Abdulla Abdullaev,DF,uz Uzbekistan,28-302,1.ae Dibba Al Fujairah,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Yusuf Abdurisag,FW,qa Qatar,26-328,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Husam Abu Dahab,DF,jo Jordan,26-048,1.kw Al-Salmiya SC,2000,2,2,178,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
11,Mohammad Abu Hasheesh,DF,jo Jordan,31-052,1.iq Al-Karma,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Mohannad Abu Taha,DF,jo Jordan,23-148,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
