"MATCH_ID","Team","Opponent","Venue","xG","xG_Opp","Goals","OppGoals","Win_Flag","Draw_Flag","xG_Diff","Home_Flag","Pred_Win_Prob_basic","Pred_Win_Prob_home"
1,"Current","Thorns","HOME",2.3,1.4,5,4,1,0,0.9,0,0.619332746889916,0.619332746889916
2,"Louisville","Pride","HOME",0.9,1.1,2,2,0,1,-0.2,0,0.367229952863915,0.367229952863915
3,"Royals","Red Stars","HOME",2.2,1.2,0,2,0,0,1,0,0.641166204350392,0.641166204350392
4,"Courage","Dash","HOME",3.2,0.2,5,1,1,0,3,0,0.920902760933799,0.920902760933799
5,"Reign","Spirit","HOME",1.6,0,1,0,1,0,1.6,0,0.758175662944139,0.758175662944139
6,"Angel City","Bay FC","HOME",1.9,1,0,1,0,0,0.9,0,0.619332746889916,0.619332746889916
7,"Red Stars","Reign","HOME",0.7,0.9,2,1,1,0,-0.2,0,0.367229952863915,0.367229952863915
8,"Royals","Courage","HOME",0.3,2.8,2,1,1,0,-2.5,0,0.0630026890910719,0.0630026890910719
9,"Spirit","Bay FC","HOME",2.1,0.8,2,1,1,0,1.3,0,0.702987828529655,0.702987828529655
10,"Pride","Angel City","HOME",0.7,1.8,1,1,0,1,-1.1,0,0.199802364133541,0.199802364133541
11,"Thorns","Gotham FC","HOME",1.2,0.7,0,1,0,0,0.5,0,0.527937776950742,0.527937776950742
12,"Wave","Current","HOME",1.5,1.7,1,2,0,0,-0.2,0,0.367229952863915,0.367229952863915
13,"Dash","Louisville","HOME",0.9,2,0,0,0,1,-1.1,0,0.199802364133541,0.199802364133541
14,"Pride","Red Stars","HOME",1.9,0.9,1,1,0,1,1,0,0.641166204350391,0.641166204350391
15,"Current","Angel City","HOME",2.5,1.2,4,2,1,0,1.3,0,0.702987828529655,0.702987828529655
16,"Thorns","Louisville","HOME",2,1.4,2,2,0,1,0.6,0,0.551214747043787,0.551214747043787
17,"Wave","Reign","HOME",0.9,0.5,1,0,1,0,0.4,0,0.504538692941293,0.504538692941293
18,"Courage","Gotham FC","HOME",0.8,1.4,1,0,1,0,-0.6,0,0.285168162605529,0.285168162605529
19,"Spirit","Royals","HOME",3.1,1.2,2,1,1,0,1.9,0,0.805939792888375,0.805939792888375
20,"Bay FC","Dash","HOME",1.1,2.4,2,3,0,0,-1.3,0,0.171511199420616,0.171511199420616
21,"Dash","Spirit","HOME",0.6,2.3,1,3,0,0,-1.7,0,0.124574713149773,0.124574713149773
22,"Courage","Thorns","HOME",0.4,1.1,2,0,1,0,-0.7,0,0.26645557566802,0.26645557566802
23,"Louisville","Wave","HOME",1.1,1,0,0,0,1,0.1,0,0.434630859384672,0.434630859384672
24,"Royals","Pride","HOME",0.1,1.8,0,1,0,0,-1.7,0,0.124574713149773,0.124574713149773
25,"Gotham FC","Current","HOME",1.3,1.3,1,1,0,1,0,0,0.411760054732995,0.411760054732995
26,"Red Stars","Angel City","HOME",0.9,1,0,1,0,0,-0.1,0,0.3892641211852,0.3892641211852
27,"Bay FC","Reign","HOME",1.8,1,3,2,1,0,0.8,0,0.59700580688996,0.59700580688996
28,"Spirit","Gotham FC","HOME",1.9,0.6,2,0,1,0,1.3,0,0.702987828529655,0.702987828529655
29,"Louisville","Royals","HOME",3.9,0.6,5,1,1,0,3.3,0,0.939107134132844,0.939107134132844
30,"Current","Bay FC","HOME",1.7,1.4,5,2,1,0,0.3,0,0.481119710288976,0.481119710288976
31,"Pride","Wave","HOME",3.7,0.2,1,0,1,0,3.5,0,0.948983303939312,0.948983303939312
32,"Reign","Red Stars","HOME",1.1,1.6,1,2,0,0,-0.5,0,0.304649114812119,0.304649114812119
33,"Angel City","Courage","HOME",0.4,2.3,2,1,1,0,-1.9,0,0.105530680960961,0.105530680960961
34,"Thorns","Dash","HOME",3.6,0.4,4,1,1,0,3.2,0,0.933522479428067,0.933522479428067
35,"Spirit","Pride","HOME",1.8,1.5,2,3,0,0,0.3,0,0.481119710288976,0.481119710288976
36,"Royals","Dash","HOME",0.9,0.5,0,0,0,1,0.4,0,0.504538692941293,0.504538692941293
37,"Red Stars","Thorns","HOME",1.6,1.7,0,2,0,0,-0.0999999999999999,0,0.3892641211852,0.3892641211852
38,"Courage","Reign","HOME",2,1.3,1,0,1,0,0.7,0,0.574269512671443,0.574269512671443
39,"Angel City","Current","HOME",1,3,1,3,0,0,-2,0,0.0970061616146299,0.0970061616146299
40,"Gotham FC","Louisville","HOME",1.6,1.8,1,1,0,1,-0.2,0,0.367229952863915,0.367229952863915
41,"Wave","Bay FC","HOME",1.4,1.8,2,1,1,0,-0.4,0,0.324856094452748,0.324856094452748
42,"Pride","Courage","HOME",2.1,0.6,4,1,1,0,1.5,0,0.740581128544693,0.740581128544693
43,"Red Stars","Spirit","HOME",0.9,1,2,4,0,0,-0.1,0,0.3892641211852,0.3892641211852
44,"Bay FC","Thorns","HOME",1.9,1.4,2,3,0,0,0.5,0,0.527937776950742,0.527937776950742
45,"Reign","Wave","HOME",1.7,1.6,2,1,1,0,0.0999999999999999,0,0.434630859384672,0.434630859384672
46,"Gotham FC","Courage","HOME",1,0.8,1,0,1,0,0.2,0,0.457783392069402,0.457783392069402
47,"Royals","Angel City","HOME",0.9,1.4,1,2,0,0,-0.5,0,0.304649114812119,0.304649114812119
48,"Dash","Current","HOME",0.8,2.5,1,1,0,1,-1.7,0,0.124574713149773,0.124574713149773
49,"Pride","Louisville","HOME",1.3,1,1,0,1,0,0.3,0,0.481119710288976,0.481119710288976
50,"Thorns","Spirit","HOME",1.5,2.2,2,1,1,0,-0.7,0,0.26645557566802,0.26645557566802
51,"Bay FC","Red Stars","HOME",1,1.8,1,2,0,0,-0.8,0,0.248543959860245,0.248543959860245
52,"Reign","Current","HOME",0.2,1.2,0,0,0,1,-1,0,0.215207328329425,0.215207328329425
53,"Wave","Royals","HOME",2.4,0.7,2,0,1,0,1.7,0,0.774939529452288,0.774939529452288
54,"Dash","Gotham FC","HOME",0.2,2.4,0,1,0,0,-2.2,0,0.0817828804466562,0.0817828804466562
55,"Pride","Bay FC","HOME",2,1,1,0,1,0,1,0,0.641166204350392,0.641166204350392
56,"Louisville","Spirit","HOME",1.4,0.9,1,2,0,0,0.5,0,0.527937776950742,0.527937776950742
57,"Red Stars","Royals","HOME",2.6,1.1,3,1,1,0,1.5,0,0.740581128544693,0.740581128544693
58,"Angel City","Dash","HOME",0.9,1.1,0,1,0,0,-0.2,0,0.367229952863915,0.367229952863915
