Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2024,1,Current,2.3,5–4,1.4,Thorns,11500,CPKC Stadium,Alex Billeter
2024,1,Louisville,0.9,2–2,1.1,Pride,6123,Lynn Family Stadium,
2024,1,Royals,2.2,0–2,1.2,Red Stars,20370,America First Field,
2024,1,Courage,3.2,5–1,0.2,Dash,5878,Sahlen's Stadium at WakeMed Soccer Park,
2024,1,Reign,1.6,1–0,0,Spirit,8557,Lumen Field,
2024,1,Angel City,1.9,0–1,1,Bay FC,22000,BMO Stadium,
2024,2,Red Stars,0.7,2–1,0.9,Reign,5494,SeatGeek Stadium,
2024,2,Royals,0.3,2–1,2.8,Courage,8161,America First Field,
2024,2,Spirit,2.1,2–1,0.8,Bay FC,11734,Audi Field,
2024,2,Pride,0.7,1–1,1.8,Angel City,6306,Inter&Co Stadium,
2024,2,Thorns,1.2,0–1,0.7,Gotham FC,19857,Providence Park,
2024,2,Wave,1.5,1–2,1.7,Current,32066,Snapdragon Stadium,
2024,2,Dash,0.9,0–0,2,Louisville,8600,Shell Energy Stadium,
2024,3,Pride,1.9,1–1,0.9,Red Stars,5586,Inter&Co Stadium,
2024,3,Current,2.5,4–2,1.2,Angel City,11500,Children's Mercy Park,
2024,3,Thorns,2,2–2,1.4,Louisville,16688,Providence Park,
2024,3,Wave,0.9,1–0,0.5,Reign,16746,Snapdragon Stadium,
2024,3,Courage,0.8,1–0,1.4,Gotham FC,5281,Sahlen's Stadium at WakeMed Soccer Park,
2024,3,Spirit,3.1,2–1,1.2,Royals,8182,Audi Field,
2024,3,Bay FC,1.1,2–3,2.4,Dash,18000,PayPal Park,
2024,4,Dash,0.6,1–3,2.3,Spirit,7767,Shell Energy Stadium,
2024,4,Courage,0.4,2–0,1.1,Thorns,5711,Sahlen's Stadium at WakeMed Soccer Park,
2024,4,Louisville,1.1,0–0,1,Wave,6818,Lynn Family Stadium,
2024,4,Royals,0.1,0–1,1.8,Pride,8578,America First Field,
2024,4,Gotham FC,1.3,1–1,1.3,Current,8573,Red Bull Arena,
2024,4,Red Stars,0.9,0–1,1,Angel City,3168,SeatGeek Stadium,
2024,4,Bay FC,1.8,3–2,1,Reign,16719,PayPal Park,
2024,5,Spirit,1.9,2–0,0.6,Gotham FC,15004,Audi Field,
2024,5,Louisville,3.9,5–1,0.6,Royals,11365,Lynn Family Stadium,
2024,5,Current,1.7,5–2,1.4,Bay FC,11500,CPKC Stadium,Rebecca Pagan
2024,5,Pride,3.7,1–0,0.2,Wave,7701,Inter&Co Stadium,
2024,5,Reign,1.1,1–2,1.6,Red Stars,9626,Lumen Field,
2024,5,Angel City,0.4,2–1,2.3,Courage,22000,BMO Stadium,
2024,5,Thorns,3.6,4–1,0.4,Dash,17580,Providence Park,
2024,6,Spirit,1.8,2–3,1.5,Pride,11636,Audi Field,
2024,6,Royals,0.9,0–0,0.5,Dash,10349,America First Field,
2024,6,Red Stars,1.6,0–2,1.7,Thorns,4544,SeatGeek Stadium,
2024,6,Courage,2,1–0,1.3,Reign,8135,Sahlen's Stadium at WakeMed Soccer Park,
2024,6,Angel City,1,1–3,3,Current,19178,BMO Stadium,
2024,6,Gotham FC,1.6,1–1,1.8,Louisville,6015,Red Bull Arena,
2024,6,Wave,1.4,2–1,1.8,Bay FC,17206,Snapdragon Stadium,
2024,7,Pride,2.1,4–1,0.6,Courage,4702,Inter&Co Stadium,
2024,7,Red Stars,0.9,2–4,1,Spirit,2999,SeatGeek Stadium,
2024,7,Bay FC,1.9,2–3,1.4,Thorns,10611,PayPal Park,
