HOME_TEAM,XG_HOME,SCORE,XG_AWAY,AWAY_TEAM
Current,2.3,5–4,1.4,Thorns
Louisville,0.9,2–2,1.1,Pride
Royals,2.2,0–2,1.2,Red Stars
Courage,3.2,5–1,0.2,Dash
Reign,1.6,1–0,0,Spirit
Angel City,1.9,0–1,1,Bay FC
Red Stars,0.7,2–1,0.9,Reign
Royals,0.3,2–1,2.8,Courage
Spirit,2.1,2–1,0.8,Bay FC
Pride,0.7,1–1,1.8,Angel City
Thorns,1.2,0–1,0.7,Gotham FC
Wave,1.5,1–2,1.7,Current
Dash,0.9,0–0,2,Louisville
Pride,1.9,1–1,0.9,Red Stars
Current,2.5,4–2,1.2,Angel City
Thorns,2,2–2,1.4,Louisville
Wave,0.9,1–0,0.5,Reign
Courage,0.8,1–0,1.4,Gotham FC
Spirit,3.1,2–1,1.2,Royals
Bay FC,1.1,2–3,2.4,Dash
Dash,0.6,1–3,2.3,Spirit
Courage,0.4,2–0,1.1,Thorns
Louisville,1.1,0–0,1,Wave
Royals,0.1,0–1,1.8,Pride
Gotham FC,1.3,1–1,1.3,Current
Red Stars,0.9,0–1,1,Angel City
Bay FC,1.8,3–2,1,Reign
Spirit,1.9,2–0,0.6,Gotham FC
Louisville,3.9,5–1,0.6,Royals
Current,1.7,5–2,1.4,Bay FC
Pride,3.7,1–0,0.2,Wave
Reign,1.1,1–2,1.6,Red Stars
Angel City,0.4,2–1,2.3,Courage
Thorns,3.6,4–1,0.4,Dash
Spirit,1.8,2–3,1.5,Pride
Royals,0.9,0–0,0.5,Dash
Red Stars,1.6,0–2,1.7,Thorns
Courage,2,1–0,1.3,Reign
Angel City,1,1–3,3,Current
Gotham FC,1.6,1–1,1.8,Louisville
Wave,1.4,2–1,1.8,Bay FC
Pride,2.1,4–1,0.6,Courage
Red Stars,0.9,2–4,1,Spirit
Bay FC,1.9,2–3,1.4,Thorns
Reign,1.7,2–1,1.6,Wave
Gotham FC,1,1–0,0.8,Courage
Royals,0.9,1–2,1.4,Angel City
Dash,0.8,1–1,2.5,Current
Pride,1.3,1–0,1,Louisville
Thorns,1.5,2–1,2.2,Spirit
Bay FC,1,1–2,1.8,Red Stars
Reign,0.2,0–0,1.2,Current
Wave,2.4,2–0,0.7,Royals
Dash,0.2,0–1,2.4,Gotham FC
Pride,2,1–0,1,Bay FC
Louisville,1.4,1–2,0.9,Spirit
Red Stars,2.6,3–1,1.1,Royals
Angel City,0.9,0–1,1.1,Dash
Wave,1.4,1–1,1.6,Gotham FC
Current,2.9,1–0,0.3,Courage
Thorns,1.4,4–0,0.8,Reign
Dash,1.1,0–2,2.8,Thorns
Bay FC,0.4,2–1,1.5,Wave
Spirit,2.7,4–2,1.4,Angel City
Courage,3.1,1–0,0.2,Royals
