"nationality","name","position","team","league","nh_le_score","gp","g","a","pts","pim","gpg","apg","ppg","adj_ppg","pimpg","dob","height","weight","shoots","adj_ppg_quartile"
"USA","J.P. Hurlbert","F","Kamloops Blazers","WHL",0.3,33,"22","33","55","16",0.666666667,1,1.666666667,0.5,0.484848485,"4/10/2008","6'0""",183,"R","Q4 (Elite)"
"Sweden","Marcus Nordmark","F","Djurgardens IF U20","U20 Nationell",0.26,17,"7","18","25","38",0.411764706,1.058823529,1.470588235,0.382352941,2.235294118,"5/3/2008","6'2""",187,"L","Q4 (Elite)"
"Canada","Tynan Lawrence","F","Muskegon Lumberjacks","USHL",0.29,9,"8","5","13","6",0.888888889,0.555555556,1.444444444,0.418888889,0.666666667,"8/2/2008","6'0""",185,"L","Q4 (Elite)"
"Sweden","Alexander Command","F","Orebro HK U20","U20 Nationell",0.26,18,"12","14","26","18",0.666666667,0.777777778,1.444444444,0.375555556,1,"6/15/2008","6'1""",183,"L","Q4 (Elite)"
"Canada","Caleb Malhotra","F","Brantford Bulldogs","OHL",0.3,32,"17","27","44","22",0.53125,0.84375,1.375,0.4125,0.6875,"6/1/2008","6'2""",183,"L","Q4 (Elite)"
"Russia","Lavr Gashilov","F","Avto Yekaterinburg","MHL",0.27,32,"11","32","43","16",0.34375,1,1.34375,0.3628125,0.5,"9/22/2007","6'2""",170,"L","Q4 (Elite)"
"Norway","Niklas Aaram-Olsen","F","Orebro HK U20","U20 Nationell",0.26,18,"14","10","24","12",0.777777778,0.555555556,1.333333333,0.346666667,0.666666667,"4/18/2008","6'1""",185,"L","Q4 (Elite)"
"Russia","Yegor Shilov","F","Victoriaville Tigres","QMJHL",0.28,31,"15","25","40","21",0.483870968,0.806451613,1.290322581,0.361290323,0.677419355,"4/29/2008","6'1""",181,"L","Q4 (Elite)"
"USA","Nikita Klepov","F","Saginaw Spirit","OHL",0.3,32,"19","21","40","21",0.59375,0.65625,1.25,0.375,0.65625,"6/26/2008","6'0""",181,"L","Q4 (Elite)"
"Czechia","Adam Novotny","F","Peterborough Petes","OHL",0.3,29,"19","16","35","6",0.655172414,0.551724138,1.206896552,0.362068966,0.206896552,"11/12/2007","6'1""",205,"L","Q4 (Elite)"
"Canada","Ryan Roobroeck","F","Niagara IceDogs","OHL",0.3,32,"18","20","38","18",0.5625,0.625,1.1875,0.35625,0.5625,"9/24/2007","6'4""",216,"L","Q4 (Elite)"
"Sweden","Nils Bartholdsson","F","Rogle BK U20","U20 Nationell",0.26,17,"11","9","20","6",0.647058824,0.529411765,1.176470588,0.305882353,0.352941176,"4/24/2008","5'10""",174,"R","Q3"
"Finland","Oscar Hemming","F","Finland U18 (all)","International-Jr",0.33,6,"5","2","7","4",0.833333333,0.333333333,1.166666667,0.385,0.666666667,"8/12/2008","6'4""",196,"L","Q4 (Elite)"
"Canada","Pierce Mbuyi","F","Owen Sound Attack","OHL",0.3,36,"19","23","42","55",0.527777778,0.638888889,1.166666667,0.35,1.527777778,"4/16/2008","5'11""",159,"L","Q4 (Elite)"
"Canada","Gavin McKenna","F","Penn State Univ.","NCAA",0.41,16,"4","14","18","4",0.25,0.875,1.125,0.46125,0.25,"12/19/2007","6'0""",170,"L","Q4 (Elite)"
"USA","Landon Hafele","F","Green Bay Gamblers","USHL",0.29,20,"7","15","22","31",0.35,0.75,1.1,0.319,1.55,"9/17/2007","6'0""",187,"L","Q3"
"Russia","Oleg Kulebyakin","F","Halifax Mooseheads","QMJHL",0.28,31,"17","17","34","16",0.548387097,0.548387097,1.096774194,0.307096774,0.516129032,"1/10/2008","5'11""",176,"L","Q3"
"Canada","Ethan Belchetz","F","Windsor Spitfires","OHL",0.3,31,"18","14","32","26",0.580645161,0.451612903,1.032258065,0.309677419,0.838709677,"3/29/2008","6'5""",227,"L","Q3"
"Canada","Riley Boychuk","F","Prince Albert Raiders","WHL",0.3,32,"6","27","33","18",0.1875,0.84375,1.03125,0.309375,0.5625,"1/30/2008","5'10""",165,"R","Q3"
"Canada","Noah Kosick","F","Swift Current Broncos","WHL",0.3,32,"10","23","33","8",0.3125,0.71875,1.03125,0.309375,0.25,"8/17/2008","5'11""",170,"L","Q3"
"USA","Wyatt Cullen","F","U.S. National U18 Team","NTDP",0.35,8,"2","6","8","0",0.25,0.75,1,0.35,0,"9/7/2008","6'0""",172,"L","Q4 (Elite)"
"Canada","Jordan Duguay","F","Portland Winterhawks","WHL",0.3,33,"11","21","32","24",0.333333333,0.636363636,0.96969697,0.290909091,0.727272727,"2/15/2008","5'11""",174,"L","Q3"
"Canada","Louis-Francois Belanger","F","Newfoundland Regiment","QMJHL",0.28,30,"14","15","29","18",0.466666667,0.5,0.966666667,0.270666667,0.6,"11/13/2007","5'8""",168,"L","Q3"
"Sweden","Ivar Stenberg","F","Frolunda HC","SHL",0.78,25,"6","18","24","4",0.24,0.72,0.96,0.7488,0.16,"9/29/2007","6'0""",181,"L","Q4 (Elite)"
"USA","Evan Jardine","F","Youngstown Phantoms","USHL",0.29,23,"9","13","22","10",0.391304348,0.565217391,0.956521739,0.277391304,0.434782609,"10/22/2007","6'0""",179,"L","Q3"
"Finland","Jasper Kuhta","F","Ottawa 67's","OHL",0.3,32,"17","13","30","4",0.53125,0.40625,0.9375,0.28125,0.125,"10/27/2006","6'2""",198,"L","Q3"
"Canada","Mathis Preston","F","Spokane Chiefs","WHL",0.3,31,"12","17","29","30",0.387096774,0.548387097,0.935483871,0.280645161,0.967741935,"7/20/2008","5'11""",176,"R","Q3"
"Canada","Cooper Williams","F","Saskatoon Blades","WHL",0.3,32,"12","17","29","18",0.375,0.53125,0.90625,0.271875,0.5625,"2/17/2008","6'1""",159,"L","Q3"
"Canada","Chase Harrington","F","Spokane Chiefs","WHL",0.3,32,"11","17","28","52",0.34375,0.53125,0.875,0.2625,1.625,"10/29/2007","6'0""",201,"L","Q3"
"Canada","Beckett Hamilton","F","Red Deer Rebels","WHL",0.3,30,"10","16","26","4",0.333333333,0.533333333,0.866666667,0.26,0.133333333,"3/27/2008","5'11""",172,"R","Q3"
"USA","Jack Hextall","F","Youngstown Phantoms","USHL",0.29,28,"8","16","24","14",0.285714286,0.571428571,0.857142857,0.248571429,0.5,"3/22/2008","6'0""",185,"R","Q2"
"Canada","Adam Valentini","F","Univ. of Michigan","NCAA",0.41,20,"5","12","17","28",0.25,0.6,0.85,0.3485,1.4,"4/10/2008","5'11""",185,"L","Q4 (Elite)"
"Sweden","Oscar Holmertz","F","Linkoping HC U20","U20 Nationell",0.26,20,"5","12","17","2",0.25,0.6,0.85,0.221,0.1,"3/20/2008","6'0""",192,"L","Q2"
"Canada","Ryder Cali","F","North Bay Battalion","OHL",0.3,13,"7","4","11","2",0.538461538,0.307692308,0.846153846,0.253846154,0.153846154,"9/5/2008","6'2""",209,"L","Q2"
"Canada","Braidy Wassilyn","F","Niagara IceDogs","OHL",0.3,6,"2","3","5","4",0.333333333,0.5,0.833333333,0.25,0.666666667,"5/27/2008","5'11""",194,"L","Q2"
"Russia","Viktor Fyodorov","F","Chaika Nizhny Novgorod","MHL",0.27,11,"2","7","9","8",0.181818182,0.636363636,0.818181818,0.220909091,0.727272727,"2/20/2008","5'10""",176,"L","Q2"
"Canada","Liam Dube","F","HC Davos U21","Swiss U21-Elit",0.25,32,"7","19","26","8",0.21875,0.59375,0.8125,0.203125,0.25,"1/3/2008","5'10""",159,"R","Q2"
"Sweden","Mans Josbrant","F","Lulea HF U20","U20 Nationell",0.26,21,"9","8","17","20",0.428571429,0.380952381,0.80952381,0.21047619,0.952380952,"4/22/2008","5'11""",170,"L","Q2"
"Canada","Maddox Dagenais","F","Quebec Remparts","QMJHL",0.28,30,"12","12","24","13",0.4,0.4,0.8,0.224,0.433333333,"3/26/2008","6'4""",196,"L","Q2"
"Finland","Viljo Kahkonen","F","HIFK U20","U20 SM-sarja",0.27,24,"6","13","19","8",0.25,0.541666667,0.791666667,0.21375,0.333333333,"2/18/2008","5'10""",181,"R","Q2"
"Canada","Jaxon Cover","F","London Knights","OHL",0.3,34,"9","17","26","32",0.264705882,0.5,0.764705882,0.229411765,0.941176471,"2/12/2008","6'1""",185,"L","Q2"
"Canada","Alessandro Di Iorio","F","Sarnia Sting","OHL",0.3,17,"7","6","13","0",0.411764706,0.352941176,0.764705882,0.229411765,0,"3/16/2008","6'1""",190,"R","Q2"
"Canada","Beckham Edwards","F","Sarnia Sting","OHL",0.3,34,"12","13","25","10",0.352941176,0.382352941,0.735294118,0.220588235,0.294117647,"1/5/2008","6'1""",181,"L","Q2"
"Sweden","Max Isaksson","F","Vaxjo Lakers HC U20","U20 Nationell",0.26,18,"7","6","13","12",0.388888889,0.333333333,0.722222222,0.187777778,0.666666667,"1/27/2008","6'0""",183,"L","Q1 (Lower)"
"Canada","Ryder Carey","F","North Bay Battalion","OHL",0.3,25,"8","10","18","20",0.32,0.4,0.72,0.216,0.8,"8/1/2008","6'0""",176,"R","Q2"
"Belarus","Roman Laman","F","Omskie Yastreby","MHL",0.27,35,"11","13","24","4",0.314285714,0.371428571,0.685714286,0.185142857,0.114285714,"1/29/2008","5'11""",176,"L","Q1 (Lower)"
"Canada","Ryan Brown","F","Sarnia Sting","OHL",0.3,34,"6","17","23","27",0.176470588,0.5,0.676470588,0.202941176,0.794117647,"10/25/2007","5'11""",176,"L","Q2"
"USA","Mikey Berchild","F","U.S. National U18 Team","NTDP",0.35,24,"6","10","16","8",0.25,0.416666667,0.666666667,0.233333333,0.333333333,"2/15/2008","5'10""",181,"L","Q2"
