"nationality","name","position","team","league","nh_le_score","gp","g","a","pts","pim","gpg","apg","ppg","adj_ppg","pimpg","dob","height","weight","shoots","adj_ppg_quartile","z_adj_ppg","rz_adj_ppg","is_outlier"
"Sweden","Ivar Stenberg","F","Frolunda HC","SHL",0.78,25,"6","18","24","4",0.24,0.72,0.96,0.7488,0.16,"9/29/2007","6'0""",181,"L","Q4 (Elite)",4.19243305084227,3.70481339662119,TRUE
"USA","J.P. Hurlbert","F","Kamloops Blazers","WHL",0.3,33,"22","33","55","16",0.666666667,1,1.666666667,0.5,0.484848485,"4/10/2008","6'0""",183,"R","Q4 (Elite)",2.04300404603393,3.70481339662119,TRUE
"Canada","Gavin McKenna","F","Penn State Univ.","NCAA",0.41,16,"4","14","18","4",0.25,0.875,1.125,0.46125,0.25,"12/19/2007","6'0""",170,"L","Q4 (Elite)",1.70823566204549,3.70481339662119,TRUE
"Canada","Tynan Lawrence","F","Muskegon Lumberjacks","USHL",0.29,9,"8","5","13","6",0.888888889,0.555555556,1.444444444,0.418888889,0.666666667,"8/2/2008","6'0""",185,"L","Q4 (Elite)",1.34227022531195,3.70481339662119,TRUE
"Canada","Caleb Malhotra","F","Brantford Bulldogs","OHL",0.3,32,"17","27","44","22",0.53125,0.84375,1.375,0.4125,0.6875,"6/1/2008","6'2""",183,"L","Q4 (Elite)",1.28707543702778,3.70481339662119,TRUE
"Finland","Oscar Hemming","F","Finland U18 (all)","International-Jr",0.33,6,"5","2","7","4",0.833333333,0.333333333,1.166666667,0.385,0.666666667,"8/12/2008","6'4""",196,"L","Q4 (Elite)",1.04949787419728,3.70481339662119,TRUE
"Sweden","Marcus Nordmark","F","Djurgardens IF U20","U20 Nationell",0.26,17,"7","18","25","38",0.411764706,1.058823529,1.470588235,0.382352941,2.235294118,"5/3/2008","6'2""",187,"L","Q4 (Elite)",1.02662944416497,3.70481339662119,TRUE
"Sweden","Alexander Command","F","Orebro HK U20","U20 Nationell",0.26,18,"12","14","26","18",0.666666667,0.777777778,1.444444444,0.375555556,1,"6/15/2008","6'1""",183,"L","Q4 (Elite)",0.967905583731491,3.70481339662119,TRUE
"USA","Nikita Klepov","F","Saginaw Spirit","OHL",0.3,32,"19","21","40","21",0.59375,0.65625,1.25,0.375,0.65625,"6/26/2008","6'0""",181,"L","Q4 (Elite)",0.963106033168005,3.70481339662119,TRUE
"Russia","Lavr Gashilov","F","Avto Yekaterinburg","MHL",0.27,32,"11","32","43","16",0.34375,1,1.34375,0.3628125,0.5,"9/22/2007","6'2""",170,"L","Q4 (Elite)",0.857815976913577,3.70481339662119,TRUE
"Czechia","Adam Novotny","F","Peterborough Petes","OHL",0.3,29,"19","16","35","6",0.655172414,0.551724138,1.206896552,0.362068966,0.206896552,"11/12/2007","6'1""",205,"L","Q4 (Elite)",0.851392449800792,3.70481339662119,TRUE
"Russia","Yegor Shilov","F","Victoriaville Tigres","QMJHL",0.28,31,"15","25","40","21",0.483870968,0.806451613,1.290322581,0.361290323,0.677419355,"4/29/2008","6'1""",181,"L","Q4 (Elite)",0.844665609573336,3.70481339662119,TRUE
"Canada","Ryan Roobroeck","F","Niagara IceDogs","OHL",0.3,32,"18","20","38","18",0.5625,0.625,1.1875,0.35625,0.5625,"9/24/2007","6'4""",216,"L","Q4 (Elite)",0.801121331238117,3.70481339662119,TRUE
"Canada","Pierce Mbuyi","F","Owen Sound Attack","OHL",0.3,36,"19","23","42","55",0.527777778,0.638888889,1.166666667,0.35,1.527777778,"4/16/2008","5'11""",159,"L","Q4 (Elite)",0.74712643059482,3.70481339662119,TRUE
"USA","Wyatt Cullen","F","U.S. National U18 Team","NTDP",0.35,8,"2","6","8","0",0.25,0.75,1,0.35,0,"9/7/2008","6'0""",172,"L","Q4 (Elite)",0.74712643059482,3.70481339662119,TRUE
"Canada","Adam Valentini","F","Univ. of Michigan","NCAA",0.41,20,"5","12","17","28",0.25,0.6,0.85,0.3485,1.4,"4/10/2008","5'11""",185,"L","Q4 (Elite)",0.734167654440429,3.70481339662119,TRUE
"Norway","Niklas Aaram-Olsen","F","Orebro HK U20","U20 Nationell",0.26,18,"14","10","24","12",0.777777778,0.555555556,1.333333333,0.346666667,0.666666667,"4/18/2008","6'1""",185,"L","Q4 (Elite)",0.718329153131457,3.70481339662119,TRUE
"USA","Landon Hafele","F","Green Bay Gamblers","USHL",0.29,20,"7","15","22","31",0.35,0.75,1.1,0.319,1.55,"9/17/2007","6'0""",187,"L","Q3",0.479311723404071,3.70481339662119,TRUE
"Canada","Ethan Belchetz","F","Windsor Spitfires","OHL",0.3,31,"18","14","32","26",0.580645161,0.451612903,1.032258065,0.309677419,0.838709677,"3/29/2008","6'5""",227,"L","Q3",0.398772229830618,3.70481339662119,TRUE
"Canada","Riley Boychuk","F","Prince Albert Raiders","WHL",0.3,32,"6","27","33","18",0.1875,0.84375,1.03125,0.309375,0.5625,"1/30/2008","5'10""",165,"R","Q3",0.396159576413395,3.70481339662119,TRUE
"Canada","Noah Kosick","F","Swift Current Broncos","WHL",0.3,32,"10","23","33","8",0.3125,0.71875,1.03125,0.309375,0.25,"8/17/2008","5'11""",170,"L","Q3",0.396159576413395,3.70481339662119,TRUE
"Russia","Oleg Kulebyakin","F","Halifax Mooseheads","QMJHL",0.28,31,"17","17","34","16",0.548387097,0.548387097,1.096774194,0.307096774,0.516129032,"1/10/2008","5'11""",176,"L","Q3",0.376477562571319,3.70481339662119,TRUE
"Sweden","Nils Bartholdsson","F","Rogle BK U20","U20 Nationell",0.26,17,"11","9","20","6",0.647058824,0.529411765,1.176470588,0.305882353,0.352941176,"4/24/2008","5'10""",174,"R","Q3",0.365985955973858,3.70481339662119,TRUE
"Slovakia","Tomas Chrenko","F","HK Nitra","Slovakia",0.47,27,"5","12","17","4",0.185185185,0.444444444,0.62962963,0.295925926,0.148148148,"11/1/2007","5'11""",170,"R","Q3",0.279970550113501,3.70481339662119,TRUE
"Canada","Jordan Duguay","F","Portland Winterhawks","WHL",0.3,33,"11","21","32","24",0.333333333,0.636363636,0.96969697,0.290909091,0.727272727,"2/15/2008","5'11""",174,"L","Q3",0.236629188934491,3.70481339662119,TRUE
"Finland","Jasper Kuhta","F","Ottawa 67's","OHL",0.3,32,"17","13","30","4",0.53125,0.40625,0.9375,0.28125,0.125,"10/27/2006","6'2""",198,"L","Q3",0.153182523518562,3.70481339662119,TRUE
"Canada","Mathis Preston","F","Spokane Chiefs","WHL",0.3,31,"12","17","29","30",0.387096774,0.548387097,0.935483871,0.280645161,0.967741935,"7/20/2008","5'11""",176,"R","Q3",0.147957208044931,3.70481339662119,TRUE
"USA","Evan Jardine","F","Youngstown Phantoms","USHL",0.29,23,"9","13","22","10",0.391304348,0.565217391,0.956521739,0.277391304,0.434782609,"10/22/2007","6'0""",179,"L","Q3",0.119846538377333,3.70481339662119,TRUE
