NATIONALITY,NAME,POSITION,TEAM,LEAGUE,NHLe SCORE,GP,G,A,PTS,PIM,GPG,APG,PPG,ADJ_PPG,PIMPG,DOB,HEIGHT,WEIGHT,SHOOTS
Sweden,Ivar Stenberg,F,Frölunda HC,SHL,0.78,25,6,18,24,4,0.24,0.72,0.96,0.7488,0.16,9/29/2007,"6'0""",181,L
USA,J.P. Hurlbert,F,Kamloops Blazers,WHL,0.3,33,22,33,55,16,0.666666667,1,1.666666667,0.5,0.484848485,4/10/2008,"6'0""",183,R
Canada,Tynan Lawrence,F,Muskegon Lumberjacks,USHL,0.29,9,8,5,13,6,0.888888889,0.555555556,1.444444444,0.418888889,0.666666667,8/2/2008,"6'0""",185,L
Canada,Caleb Malhotra,F,Brantford Bulldogs,OHL,0.3,32,17,27,44,22,0.53125,0.84375,1.375,0.4125,0.6875,6/1/2008,"6'2""",183,L
Finland,Oscar Hemming,F,Finland U18 (all),International-Jr,0.33,6,5,2,7,4,0.833333333,0.333333333,1.166666667,0.385,0.666666667,8/12/2008,"6'4""",196,L
Sweden,Marcus Nordmark,F,Djurgårdens IF U20,U20 Nationell,0.26,17,7,18,25,38,0.411764706,1.058823529,1.470588235,0.382352941,2.235294118,5/3/2008,"6'2""",187,L
Sweden,Alexander Command,F,Örebro HK U20,U20 Nationell,0.26,18,12,14,26,18,0.666666667,0.777777778,1.444444444,0.375555556,1,6/15/2008,"6'1""",183,L
USA,Nikita Klepov,F,Saginaw Spirit,OHL,0.3,32,19,21,40,21,0.59375,0.65625,1.25,0.375,0.65625,6/26/2008,"6'0""",181,L
Canada,Ryan Lin,D,Vancouver Giants,WHL,0.3,34,9,33,42,20,0.264705882,0.970588235,1.235294118,0.370588235,0.588235294,4/17/2008,"5'11""",176,R
Russia,Lavr Gashilov,F,Avto Yekaterinburg,MHL,0.27,32,11,32,43,16,0.34375,1,1.34375,0.3628125,0.5,9/22/2007,"6'2""",170,L
Czechia,Adam Novotny,F,Peterborough Petes,OHL,0.3,29,19,16,35,6,0.655172414,0.551724138,1.206896552,0.362068966,0.206896552,11/12/2007,"6'1""",205,L
Russia,Yegor Shilov,F,Victoriaville Tigres,QMJHL,0.28,31,15,25,40,21,0.483870968,0.806451613,1.290322581,0.361290323,0.677419355,4/29/2008,"6'1""",181,L
Canada,Ryan Roobroeck,F,Niagara IceDogs,OHL,0.3,32,18,20,38,18,0.5625,0.625,1.1875,0.35625,0.5625,9/24/2007,"6'4""",216,L
Canada,Pierce Mbuyi,F,Owen Sound Attack,OHL,0.3,36,19,23,42,55,0.527777778,0.638888889,1.166666667,0.35,1.527777778,4/16/2008,"5'11""",159,L
USA,Wyatt Cullen,F,U.S. National U18 Team,NTDP,0.35,8,2,6,8,0,0.25,0.75,1,0.35,0,9/7/2008,"6'0""",172,L
Norway,Niklas Aaram-Olsen,F,Örebro HK U20,U20 Nationell,0.26,18,14,10,24,12,0.777777778,0.555555556,1.333333333,0.346666667,0.666666667,4/18/2008,"6'1""",185,L
USA,Chase Reid,D,Soo Greyhounds,OHL,0.3,31,14,21,35,24,0.451612903,0.677419355,1.129032258,0.338709677,0.774193548,12/29/2007,"6'2""",187,R
Sweden,Axel Elofsson,D,Örebro HK U20,U20 Nationell,0.26,20,4,22,26,10,0.2,1.1,1.3,0.338,0.5,6/2/2008,"5'11""",165,R
USA,Landon Hafele,F,Green Bay Gamblers,USHL,0.29,20,7,15,22,31,0.35,0.75,1.1,0.319,1.55,9/17/2007,"6'0""",187,L
Canada,Carson Carels,D,Prince George Cougars,WHL,0.3,28,8,21,29,32,0.285714286,0.75,1.035714286,0.310714286,1.142857143,6/22/2008,"6'2""",194,L
Canada,Ethan Belchetz,F,Windsor Spitfires,OHL,0.3,31,18,14,32,26,0.580645161,0.451612903,1.032258065,0.309677419,0.838709677,3/29/2008,"6'5""",227,L
