TEAM_ABBR,PLAYER_ID,NAME,POSITION,AGE,HEIGHT,WEIGHT,COUNTRY,GP,W,L,WL_RATIO,GOALS_AGAINST,SHOTS_AGAINST,SAVES,SAVESPG,GAA,SAVE_PCT,BRICK_WALL,SHUTOUTS,GAMES_STARTED,PENALTIES,PIM,GOONY_BIG_PADS
NSH,5877,Juuse Saros,G,30,"5'11""",180,Finland,34,17,14,1.21,98,950,852,25.06,2.961,0.897,86.25493469,0,34,1,2,2.08
WSH,28493,Logan Thompson,G,28,"6'4""",190,Canada,32,16,12,1.33,74,878,804,25.12,2.352,0.916,88.97271408,2,32,0,0,0
BOS,28418,Jeremy Swayman,G,27,"6'2""",187,USA,30,16,11,1.45,86,865,780,26,2.913,0.902,86.64426705,0,29,1,2,2.08
LAK,5168,Darcy Kuemper,G,35,"6'5""",215,Canada,28,12,8,1.5,68,718,650,23.21,2.502,0.905,87.98730044,2,27,2,4,4.17
DAL,18035,Jake Oettinger,G,27,"6'4""",205,USA,28,16,8,2,76,763,687,24.54,2.758,0.9,86.99419448,2,28,0,0,0
MIN,37975,Jesper Wallstedt,G,23,"6'3""",214,Sweden,18,12,2,6,42,569,528,29.33,2.28,0.928,89.78171263,4,17,1,2,2.08
STL,5908,Jordan Binnington,G,32,"6'1""",174,Canada,26,8,11,0.73,84,649,565,21.73,3.553,0.871,83.23650218,1,24,0,0,0
WPJ,5873,Connor Hellebuyck,G,32,"6'4""",207,USA,25,9,12,0.75,67,680,613,24.52,2.692,0.901,87.23577649,0,25,1,2,2.08
MIN,14120,Filip Gustavsson,G,27,"6'2""",185,Sweden,27,14,9,1.56,67,761,694,25.7,2.476,0.912,88.41277213,3,27,0,0,0
VAN,17354,Kevin Lankinen,G,30,"6'2""",185,Finland,21,6,11,0.55,70,593,523,24.9,3.408,0.882,84.20740203,0,19,1,2,2.08
NJD,4874,Jacob Markstrom,G,35,"6'6""",206,Sweden,22,10,10,1,71,580,509,23.14,3.481,0.878,83.79550073,0,21,3,6,6.25
BUF,15149,Ukko-Pekka Luukkonen,G,26,"6'4""",190,Finland,15,8,6,1.33,38,390,352,23.47,2.605,0.903,87.5883164,0,13,1,2,2.08
