ABB,DIVISION,CONFERENCE,TEAM,NAME,AGE,HEIGHT,WEIGHT,COUNTRY,POSITION,GP,G,A,PTS,GPG,APG,PPG,PLUS_MINUS,PIM,HAT_TRICKS,SOG,SHT_PCT,BLOCKED_SHOTS,HITS,GIVES,TAKES,NET_PUCK_DIFF,POSSESSION,FO_PCT
TBL,Atlantic,Eastern,Tampa Bay Lightning,Anthony Cirelli,28,"6'0""",193,Canada,C,38,12,13,25,0.315789474,0.342105263,0.657894737,22,10,4,73,16.4,23,26,25,17,0.404761905,0.68,48
COL,Central,Western,Colorado Avalanche,Cale Makar,27,"5'11""",187,Canada,D,42,12,36,48,0.285714286,0.857142857,1.142857143,30,18,4,118,10.2,73,20,42,25,0.373134328,0.595238095,0
VGK,Pacific,Western,Vegas Golden Knights,Mark Stone,33,"6'3""",202,Canada,RW,25,13,21,34,0.52,0.84,1.36,6,2,4,61,21.3,16,13,28,12,0.3,0.428571429,16.7
FLO,Atlantic,Eastern,Florida Panthers,Sam Reinhart,30,"6'1""",194,Canada,C,42,23,21,44,0.547619048,0.5,1.047619048,-9,4,7,111,20.7,26,40,30,12,0.285714286,0.4,36.1
DAL,Central,Western,Dallas Stars,Thomas Harley,24,"6'3""",188,Canada,D,32,2,14,16,0.0625,0.4375,0.5,-4,10,0,42,4.8,70,22,43,17,0.283333333,0.395348837,0
SJS,Pacific,Western,San Jose Sharks,Macklin Celebrini,19,"6'0""",190,Canada,C,43,24,43,67,0.558139535,1,1.558139535,17,28,8,143,16.8,25,25,66,25,0.274725275,0.378787879,48.5
MTL,Atlantic,Eastern,Montreal Canadiens,Nick Suzuki,26,"5'11""",208,Canada,C,43,14,33,47,0.325581395,0.76744186,1.093023256,16,8,4,93,15.1,37,33,35,13,0.270833333,0.371428571,48.6
STL,Central,Western,St. Louis Blues,Colton Parayko,32,"6'6""",230,Canada,D,44,0,11,11,0,0.25,0.25,-8,16,0,48,0,105,44,53,19,0.263888889,0.358490566,0
TBL,Atlantic,Eastern,Tampa Bay Lightning,Brandon Hagel,27,"6'0""",175,Canada,LW,37,20,18,38,0.540540541,0.486486486,1.027027027,22,24,6,109,18.3,21,30,43,15,0.25862069,0.348837209,44.4
PHI,Metropolitan,Eastern,Philadelphia Flyers,Travis Sanheim,29,"6'3""",181,Canada,D,41,5,14,19,0.12195122,0.341463415,0.463414634,7,12,1,54,9.3,78,25,57,18,0.24,0.315789474,0
COL,Central,Western,Colorado Avalanche,Devon Toews,31,"6'1""",191,Canada,D,40,1,12,13,0.025,0.3,0.325,26,18,0,68,1.5,58,14,45,14,0.237288136,0.311111111,0
VGK,Pacific,Western,Vegas Golden Knights,Mitch Marner,28,"6'0""",180,Canada,RW,42,9,35,44,0.214285714,0.833333333,1.047619048,8,12,0,77,11.7,27,15,58,18,0.236842105,0.310344828,40
VGK,Pacific,Western,Vegas Golden Knights,Shea Theodore,30,"6'2""",195,Canada,D,31,4,16,20,0.129032258,0.516129032,0.64516129,5,6,1,74,5.4,48,1,39,12,0.235294118,0.307692308,0
