SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,POSITION,GAMES_PLAYED,GOALS,ASSISTS,POINTS,SOGPG,APG,GPG,PGP,DEF_WALL,PHYSICAL,HAT_TRICKS,PP_GOALS,PP_ASSISTS,PP_POINTS,SH_GOALS,SH_ASSISTS,SH_POINTS,GW_GOALS,GT_GOALS,OT_GOALS,SO_ATTEMPTS,SO_MISSES,SO_GOALS,SO_GOAL_PCT,PLUS_MINUS,SHOT_ATTEMPTS,SHOTS_ON_GOAL,SHOT_PCT,BLOCKED_SHOTS,BLOCKED_SHOTS_AGAINST,MISSED_SHOTS,HITS,HITS_RECEIVED,GIVEAWAYS,TAKEAWAYS,FACEOFFS,FACEOFF_WINS,FACEOFF_LOSSES,FACEOFF_PCT,PENALTIES,PIM,PENALTIES_DRAWN,PENALTY_MIN_DRAWN,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20251130,6,PHI,18056,Rodrigo Abols,ROSTER,29.0,"6'4""",206.0,Latvia,Riga,False,C,19,1,0,1,1.05,0.0,0.05,0.05,14.8,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5,44,20,5.0,8,10,14,24,18,6,6,123,63,60,51.2,2,7,2,7,1,258,158,58,43,11066,1563,984,8519,PHI,Metropolitan,Eastern
2025-2026,20251130,10,PIT,5927,Noel Acciari,ROSTER,33.0,"5'10""",203.0,USA,"Johnston, RI",False,C,13,0,3,3,0.85,0.23,0.0,0.23,14.5,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,18,11,0.0,10,4,4,18,20,1,2,87,53,34,60.9,2,12,0,0,0,241,114,45,75,10088,1686,479,7651,PIT,Metropolitan,Eastern
2025-2026,20251130,30,UTA,5234,Andrew Agozzino,ASSIGNED_TO_MINORS,34.0,"5'10""",187.0,Canada,"Kleinburg, ON",False,LW,2,0,0,0,0.0,0.0,0.0,0.0,2.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1,0,1,4,1,1,1,7,3,4,42.9,0,0,1,2,0,20,12,4,4,736,91,0,645,UTA,Central,Western
2025-2026,20251130,22,COL,28441,Jack Ahcan,ASSIGNED_TO_MINORS,28.0,"5'8""",185.0,USA,"Savage, MN",True,D,6,0,1,1,0.33,0.17,0.0,0.17,5.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,8,2,0.0,4,4,2,5,8,2,0,0,0,0,0.0,0,0,0,0,0,92,63,13,16,4088,487,254,3347,COL,Central,Western
2025-2026,20251130,3,CAR,5630,Sebastian Aho,ROSTER,28.0,"6'0""",176.0,Finland,Rauma,False,C,24,8,16,24,2.62,0.67,0.33,1.0,15.1,14.2,2,1,5,6,0,1,1,1,0,1,0,0,0,0.0,5,126,63,12.7,8,28,35,25,15,32,11,402,192,210,47.8,5,10,6,12,0,556,248,101,215,28901,5680,1813,21408,CAR,Metropolitan,Eastern
2025-2026,20251130,13,OTT,12009,Michael Amadio,ROSTER,29.0,"6'1""",204.0,Canada,"Sault Ste. Marie, ON",False,RW,24,6,4,10,1.29,0.17,0.25,0.42,25.9,5.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,60,31,19.4,16,10,19,37,33,20,11,7,3,4,42.9,2,4,4,8,0,529,264,123,148,21922,3666,1908,16348,OTT,Atlantic,Eastern
2025-2026,20251130,21,VAN,39762,Nils Aman,ASSIGNED_TO_MINORS,25.0,"6'2""",179.0,Sweden,Avesta,True,C,2,0,0,0,0.5,0.0,0.0,0.0,1.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,1,0.0,1,2,0,2,1,1,0,2,1,1,50.0,0,0,0,0,0,23,19,1,3,1039,48,31,960,VAN,Pacific,Western
2025-2026,20251130,14,MTL,5513,Josh Anderson,ROSTER,31.0,"6'3""",227.0,Canada,"Burlington, ON",False,RW,24,5,3,8,1.08,0.12,0.21,0.33,28.7,25.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,-9,48,26,19.2,18,8,14,40,13,10,2,12,10,2,83.3,9,18,9,18,0,454,219,123,117,21826,3823,1896,16107,MTL,Atlantic,Eastern
2025-2026,20251130,28,LAK,18073,Michael Anderson,ROSTER,26.0,"5'11""",194.0,USA,"Roseville, MN",False,D,25,1,5,6,0.52,0.2,0.04,0.24,38.9,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5,46,13,7.7,35,23,10,27,42,15,3,0,0,0,0.0,2,4,6,12,0,603,350,128,126,29580,4012,2278,23290,LAK,Pacific,Western
2025-2026,20251130,23,CGY,5647,Rasmus Andersson,ROSTER,29.0,"6'1""",214.0,Sweden,Malmö,False,D,26,5,13,18,2.23,0.5,0.19,0.69,47.5,34.0,1,1,4,5,0,0,0,0,0,0,2,0,0,0.0,1,132,58,8.6,50,38,36,14,44,42,6,0,0,0,0.0,12,24,10,20,0,881,384,195,307,37829,5656,2572,29601,CGY,Pacific,Western
