DATE,PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
04/05/2026,Jakob Pelletier,Syracuse Crunch,61,28,47,75,0.77,0.459,1.23,0.311,25,https://www.eliteprospects.com/player/410525/jakob-pelletier,2025-2026,ahl
04/05/2026,Alex Barre-Boulet,Colorado Eagles,66,25,43,68,0.652,0.379,1.03,0.455,18,https://www.eliteprospects.com/player/227670/alex-barre-boulet,2025-2026,ahl
04/05/2026,Cameron Hughes,Texas Stars,63,16,50,66,0.794,0.254,1.05,0.73,13,https://www.eliteprospects.com/player/62155/cameron-hughes,2025-2026,ahl
04/05/2026,Arthur Kaliyev,Belleville Senators,65,37,26,63,0.4,0.569,0.97,0.431,-15,https://www.eliteprospects.com/player/316114/arthur-kaliyev,2025-2026,ahl
04/05/2026,Tanner Laczynski,Henderson Silver Knights,59,21,42,63,0.712,0.356,1.07,0.593,36,https://www.eliteprospects.com/player/234312/tanner-laczynski,2025-2026,ahl
04/05/2026,Ilya Protas,Hershey Bears,66,28,34,62,0.515,0.424,0.94,0.606,16,https://www.eliteprospects.com/player/949987/ilya-protas,2025-2026,ahl
04/05/2026,Conor Geekie,Syracuse Crunch,56,17,42,59,0.75,0.304,1.05,1.071,13,https://www.eliteprospects.com/player/571034/conor-geekie,2025-2026,ahl
04/05/2026,Seth Griffith,Bakersfield Condors,65,16,43,59,0.662,0.246,0.91,0.677,-1,https://www.eliteprospects.com/player/45606/seth-griffith,2025-2026,ahl
04/05/2026,Laurent Dauphin,Laval Rocket,53,15,44,59,0.83,0.283,1.11,0.642,22,https://www.eliteprospects.com/player/126400/laurent-dauphin,2025-2026,ahl
04/05/2026,Felix Unger Sorum,Chicago Wolves,66,14,45,59,0.682,0.212,0.89,0.303,4,https://www.eliteprospects.com/player/618598/felix-unger-sorum,2025-2026,ahl
04/05/2026,Quinn Hutson,Bakersfield Condors,61,29,29,58,0.475,0.475,0.95,1.279,-4,https://www.eliteprospects.com/player/201721/quinn-hutson,2025-2026,ahl
04/05/2026,Alex Belzile,Laval Rocket,63,28,29,57,0.46,0.444,0.90,1.048,13,https://www.eliteprospects.com/player/68593/alex-belzile,2025-2026,ahl
04/05/2026,Logan Morrison,Coachella Valley Firebirds,64,27,30,57,0.469,0.422,0.89,0.656,22,https://www.eliteprospects.com/player/201937/logan-morrison,2025-2026,ahl
04/05/2026,Luca Del Bel Belluz,Cleveland Monsters,53,22,35,57,0.66,0.415,1.08,0.038,-2,https://www.eliteprospects.com/player/525669/luca-del-bel-belluz,2025-2026,ahl
04/05/2026,Justin Robidas,Chicago Wolves,57,22,35,57,0.614,0.386,1.00,0.246,18,https://www.eliteprospects.com/player/411012/justin-robidas,2025-2026,ahl
04/05/2026,Konsta Helenius,Rochester Americans,56,19,38,57,0.679,0.339,1.02,0.393,-9,https://www.eliteprospects.com/player/796075/konsta-helenius,2025-2026,ahl
04/05/2026,Andrew Cristall,Hershey Bears,67,19,38,57,0.567,0.284,0.85,0.358,-5,https://www.eliteprospects.com/player/603591/andrew-cristall,2025-2026,ahl
04/05/2026,Zac Jones,Rochester Americans,55,10,47,57,0.855,0.182,1.04,0.255,-8,https://www.eliteprospects.com/player/364649/zac-jones,2025-2026,ahl
04/05/2026,Martin Frk,Calgary Wranglers,62,28,28,56,0.452,0.452,0.90,1.032,10,https://www.eliteprospects.com/player/56033/martin-frk,2025-2026,ahl
04/05/2026,Georgii Merkulov,Providence Bruins,65,21,35,56,0.538,0.323,0.86,0.554,12,https://www.eliteprospects.com/player/395630/georgii-merkulov,2025-2026,ahl
04/05/2026,Dryden Hunt,Calgary Wranglers,48,17,39,56,0.812,0.354,1.17,1.333,4,https://www.eliteprospects.com/player/84609/dryden-hunt,2025-2026,ahl
04/05/2026,Dylan Duke,Syracuse Crunch,67,31,24,55,0.358,0.463,0.82,0.537,-3,https://www.eliteprospects.com/player/512163/dylan-duke,2025-2026,ahl
04/05/2026,Mitchell Chaffee,Syracuse Crunch,52,24,31,55,0.596,0.462,1.06,1.096,7,https://www.eliteprospects.com/player/296327/mitchell-chaffee,2025-2026,ahl
04/05/2026,Jagger Firkus,Coachella Valley Firebirds,61,21,34,55,0.557,0.344,0.90,0.262,13,https://www.eliteprospects.com/player/565465/jagger-firkus,2025-2026,ahl
04/05/2026,Riley Tufte,Providence Bruins,60,31,22,53,0.367,0.517,0.88,1.183,24,https://www.eliteprospects.com/player/291903/riley-tufte,2025-2026,ahl
04/05/2026,Bradly Nadeau,Chicago Wolves,51,26,27,53,0.529,0.51,1.04,0.471,14,https://www.eliteprospects.com/player/619153/bradly-nadeau,2025-2026,ahl
04/05/2026,Rory Kerins,Calgary Wranglers,53,21,32,53,0.604,0.396,1.00,0.302,-7,https://www.eliteprospects.com/player/504297/rory-kerins,2025-2026,ahl
04/05/2026,Filip Bystedt,San Jose Barracuda,59,20,33,53,0.559,0.339,0.90,0.373,3,https://www.eliteprospects.com/player/578760/filip-bystedt,2025-2026,ahl
04/05/2026,Sasha Pastujov,San Diego Gulls,66,19,33,52,0.5,0.288,0.79,0.394,2,https://www.eliteprospects.com/player/512165/sasha-pastujov,2025-2026,ahl
04/05/2026,Patrick Brown,Providence Bruins,67,19,33,52,0.493,0.284,0.78,0.806,34,https://www.eliteprospects.com/player/75038/patrick-brown,2025-2026,ahl
04/05/2026,John Leonard,Grand Rapids Griffins,43,32,19,51,0.442,0.744,1.19,0.233,11,https://www.eliteprospects.com/player/272976/john-leonard,2025-2026,ahl
04/05/2026,Jayson Megna,Colorado Eagles,65,26,25,51,0.385,0.4,0.78,0.462,23,https://www.eliteprospects.com/player/46027/jayson-megna,2025-2026,ahl
04/05/2026,Logan Shaw,Toronto Marlies,67,23,28,51,0.418,0.343,0.76,0.642,3,https://www.eliteprospects.com/player/37280/logan-shaw,2025-2026,ahl
04/05/2026,Austin Poganski,Tucson Roadrunners,64,22,29,51,0.453,0.344,0.80,0.188,2,https://www.eliteprospects.com/player/231724/austin-poganski,2025-2026,ahl
04/05/2026,Ben McCartney,Tucson Roadrunners,54,21,30,51,0.556,0.389,0.94,1.352,3,https://www.eliteprospects.com/player/351230/ben-mccartney,2025-2026,ahl
04/05/2026,Xavier Bourgault,Belleville Senators,65,20,31,51,0.477,0.308,0.78,0.462,-18,https://www.eliteprospects.com/player/341629/xavier-bourgault,2025-2026,ahl
04/05/2026,Viljami Marjala,Bakersfield Condors,66,14,37,51,0.561,0.212,0.77,0.303,-9,https://www.eliteprospects.com/player/525657/viljami-marjala,2025-2026,ahl
04/05/2026,Benoit-Olivier Groulx,Toronto Marlies,55,27,23,50,0.418,0.491,0.91,0.582,10,https://www.eliteprospects.com/player/335689/benoit-olivier-groulx,2025-2026,ahl
04/05/2026,Martin Chromiak,Ontario Reign,66,25,25,50,0.379,0.379,0.76,0.212,-2,https://www.eliteprospects.com/player/292067/martin-chromiak,2025-2026,ahl
04/05/2026,Cole Guttman,Ontario Reign,63,24,26,50,0.413,0.381,0.79,0.825,1,https://www.eliteprospects.com/player/201449/cole-guttman,2025-2026,ahl
04/05/2026,Brett Seney,Rockford IceHogs,61,16,33,49,0.541,0.262,0.80,1.0,8,https://www.eliteprospects.com/player/204125/brett-seney,2025-2026,ahl
04/05/2026,Glenn Gawdin,Ontario Reign,67,15,34,49,0.507,0.224,0.73,1.06,2,https://www.eliteprospects.com/player/192245/glenn-gawdin,2025-2026,ahl
04/05/2026,Jack Ahcan,Colorado Eagles,57,10,39,49,0.684,0.175,0.86,0.807,24,https://www.eliteprospects.com/player/248456/jack-ahcan,2025-2026,ahl
04/05/2026,Andre Lee,Ontario Reign,60,26,22,48,0.367,0.433,0.80,0.75,16,https://www.eliteprospects.com/player/350001/andre-lee,2025-2026,ahl
04/05/2026,Raphael Lavoie,Henderson Silver Knights,39,25,23,48,0.59,0.641,1.23,0.256,6,https://www.eliteprospects.com/player/335712/raphael-lavoie,2025-2026,ahl
04/05/2026,Lane Pederson,Lehigh Valley Phantoms,63,23,25,48,0.397,0.365,0.76,0.698,-10,https://www.eliteprospects.com/player/199918/lane-pederson,2025-2026,ahl
04/05/2026,Matthew Seminoff,Texas Stars,66,23,25,48,0.379,0.348,0.73,0.273,17,https://www.eliteprospects.com/player/538928/matthew-seminoff,2025-2026,ahl
04/05/2026,Cameron Hebig,Tucson Roadrunners,62,20,28,48,0.452,0.323,0.77,0.484,-2,https://www.eliteprospects.com/player/199897/cameron-hebig,2025-2026,ahl
04/05/2026,Sean Farrell,Laval Rocket,68,15,33,48,0.485,0.221,0.71,0.265,-1,https://www.eliteprospects.com/player/386329/sean-farrell,2025-2026,ahl
