DATE,PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
3/22/2026,Jakob Pelletier,Syracuse Crunch,55,24,43,67,0.782,0.436,1.22,0.236,23,https://www.eliteprospects.com/player/410525/jakob-pelletier,2025-2026,ahl
3/22/2026,Cameron Hughes,Texas Stars,59,16,48,64,0.814,0.271,1.08,0.746,17,https://www.eliteprospects.com/player/62155/cameron-hughes,2025-2026,ahl
3/22/2026,Alex Barre-Boulet,Colorado Eagles,60,22,40,62,0.667,0.367,1.03,0.433,20,https://www.eliteprospects.com/player/227670/alex-barre-boulet,2025-2026,ahl
3/22/2026,Tanner Laczynski,Henderson Silver Knights,53,19,40,59,0.755,0.358,1.11,0.623,33,https://www.eliteprospects.com/player/234312/tanner-laczynski,2025-2026,ahl
3/22/2026,Laurent Dauphin,Laval Rocket,53,15,44,59,0.83,0.283,1.11,0.642,22,https://www.eliteprospects.com/player/126400/laurent-dauphin,2025-2026,ahl
3/22/2026,Arthur Kaliyev,Belleville Senators,61,33,24,57,0.393,0.541,0.93,0.459,-16,https://www.eliteprospects.com/player/316114/arthur-kaliyev,2025-2026,ahl
3/22/2026,Justin Robidas,Chicago Wolves,56,22,34,56,0.607,0.393,1.0,0.25,19,https://www.eliteprospects.com/player/411012/justin-robidas,2025-2026,ahl
3/22/2026,Conor Geekie,Syracuse Crunch,50,16,40,56,0.8,0.32,1.12,1.04,15,https://www.eliteprospects.com/player/571034/conor-geekie,2025-2026,ahl
3/22/2026,Logan Morrison,Coachella Valley Firebirds,59,26,29,55,0.492,0.441,0.93,0.678,25,https://www.eliteprospects.com/player/201937/logan-morrison,2025-2026,ahl
3/22/2026,Seth Griffith,Bakersfield Condors,61,16,39,55,0.639,0.262,0.9,0.656,-1,https://www.eliteprospects.com/player/45606/seth-griffith,2025-2026,ahl
3/22/2026,Jagger Firkus,Coachella Valley Firebirds,59,21,33,54,0.559,0.356,0.92,0.271,15,https://www.eliteprospects.com/player/565465/jagger-firkus,2025-2026,ahl
3/22/2026,Quinn Hutson,Bakersfield Condors,56,27,26,53,0.464,0.482,0.95,1.393,3,https://www.eliteprospects.com/player/201721/quinn-hutson,2025-2026,ahl
3/22/2026,Alex Belzile,Laval Rocket,60,26,27,53,0.45,0.433,0.88,1.067,14,https://www.eliteprospects.com/player/68593/alex-belzile,2025-2026,ahl
3/22/2026,Luca Del Bel Belluz,Cleveland Monsters,49,22,31,53,0.633,0.449,1.08,0.041,4,https://www.eliteprospects.com/player/525669/luca-del-bel-belluz,2025-2026,ahl
3/22/2026,Ilya Protas,Hershey Bears,60,26,26,52,0.433,0.433,0.87,0.567,10,https://www.eliteprospects.com/player/949987/ilya-protas,2025-2026,ahl
3/22/2026,Felix Unger Sorum,Chicago Wolves,59,12,40,52,0.678,0.203,0.88,0.305,0,https://www.eliteprospects.com/player/618598/felix-unger-sorum,2025-2026,ahl
3/22/2026,Dylan Duke,Syracuse Crunch,61,29,22,51,0.361,0.475,0.84,0.492,-4,https://www.eliteprospects.com/player/512163/dylan-duke,2025-2026,ahl
3/22/2026,Bradly Nadeau,Chicago Wolves,46,25,26,51,0.565,0.543,1.11,0.522,17,https://www.eliteprospects.com/player/619153/bradly-nadeau,2025-2026,ahl
3/22/2026,Martin Frk,Calgary Wranglers,59,25,26,51,0.441,0.424,0.86,1.017,11,https://www.eliteprospects.com/player/56033/martin-frk,2025-2026,ahl
3/22/2026,Mitchell Chaffee,Syracuse Crunch,49,23,28,51,0.571,0.469,1.04,1.163,7,https://www.eliteprospects.com/player/296327/mitchell-chaffee,2025-2026,ahl
3/22/2026,Zac Jones,Rochester Americans,48,9,42,51,0.875,0.188,1.06,0.25,-4,https://www.eliteprospects.com/player/364649/zac-jones,2025-2026,ahl
3/22/2026,Benoit-Olivier Groulx,Toronto Marlies,54,27,23,50,0.426,0.5,0.93,0.593,13,https://www.eliteprospects.com/player/335689/benoit-olivier-groulx,2025-2026,ahl
3/22/2026,Georgii Merkulov,Providence Bruins,59,19,31,50,0.525,0.322,0.85,0.576,15,https://www.eliteprospects.com/player/395630/georgii-merkulov,2025-2026,ahl
3/22/2026,Xavier Bourgault,Belleville Senators,61,18,31,49,0.508,0.295,0.8,0.459,-19,https://www.eliteprospects.com/player/341629/xavier-bourgault,2025-2026,ahl
3/22/2026,Patrick Brown,Providence Bruins,61,17,32,49,0.525,0.279,0.8,0.754,35,https://www.eliteprospects.com/player/75038/patrick-brown,2025-2026,ahl
3/22/2026,Dryden Hunt,Calgary Wranglers,42,15,34,49,0.81,0.357,1.17,1.524,7,https://www.eliteprospects.com/player/84609/dryden-hunt,2025-2026,ahl
3/22/2026,Riley Tufte,Providence Bruins,54,27,21,48,0.389,0.5,0.89,1.185,27,https://www.eliteprospects.com/player/291903/riley-tufte,2025-2026,ahl
3/22/2026,Andrew Cristall,Hershey Bears,61,15,33,48,0.541,0.246,0.79,0.328,-9,https://www.eliteprospects.com/player/603591/andrew-cristall,2025-2026,ahl
3/22/2026,Viljami Marjala,Bakersfield Condors,61,13,35,48,0.574,0.213,0.79,0.328,0,https://www.eliteprospects.com/player/525657/viljami-marjala,2025-2026,ahl
3/22/2026,Ben McCartney,Tucson Roadrunners,49,21,26,47,0.531,0.429,0.96,1.347,6,https://www.eliteprospects.com/player/351230/ben-mccartney,2025-2026,ahl
3/22/2026,Filip Bystedt,San Jose Barracuda,52,18,29,47,0.558,0.346,0.9,0.423,5,https://www.eliteprospects.com/player/578760/filip-bystedt,2025-2026,ahl
3/22/2026,Jayson Megna,Colorado Eagles,60,23,23,46,0.383,0.383,0.77,0.5,20,https://www.eliteprospects.com/player/46027/jayson-megna,2025-2026,ahl
3/22/2026,Martin Chromiak,Ontario Reign,61,22,24,46,0.393,0.361,0.75,0.197,2,https://www.eliteprospects.com/player/292067/martin-chromiak,2025-2026,ahl
3/22/2026,Logan Shaw,Toronto Marlies,61,22,24,46,0.393,0.361,0.75,0.377,4,https://www.eliteprospects.com/player/37280/logan-shaw,2025-2026,ahl
3/22/2026,Cameron Hebig,Tucson Roadrunners,56,19,27,46,0.482,0.339,0.82,0.536,-1,https://www.eliteprospects.com/player/199897/cameron-hebig,2025-2026,ahl
3/22/2026,Sasha Pastujov,San Diego Gulls,61,16,30,46,0.492,0.262,0.75,0.426,1,https://www.eliteprospects.com/player/512165/sasha-pastujov,2025-2026,ahl
3/22/2026,John Leonard,Grand Rapids Griffins,36,29,16,45,0.444,0.806,1.25,0.222,12,https://www.eliteprospects.com/player/272976/john-leonard,2025-2026,ahl
3/22/2026,Lane Pederson,Lehigh Valley Phantoms,58,22,23,45,0.397,0.379,0.78,0.724,-7,https://www.eliteprospects.com/player/199918/lane-pederson,2025-2026,ahl
3/22/2026,Austin Poganski,Tucson Roadrunners,58,18,27,45,0.466,0.31,0.78,0.207,2,https://www.eliteprospects.com/player/231724/austin-poganski,2025-2026,ahl
3/22/2026,Rory Kerins,Calgary Wranglers,50,17,28,45,0.56,0.34,0.9,0.32,-11,https://www.eliteprospects.com/player/504297/rory-kerins,2025-2026,ahl
3/22/2026,Konsta Helenius,Rochester Americans,49,15,30,45,0.612,0.306,0.92,0.286,-11,https://www.eliteprospects.com/player/796075/konsta-helenius,2025-2026,ahl
3/22/2026,Brett Seney,Rockford IceHogs,55,13,32,45,0.582,0.236,0.82,1.036,5,https://www.eliteprospects.com/player/204125/brett-seney,2025-2026,ahl
3/22/2026,Jack Ahcan,Colorado Eagles,51,9,36,45,0.706,0.176,0.88,0.824,26,https://www.eliteprospects.com/player/248456/jack-ahcan,2025-2026,ahl
3/22/2026,Trey Fix-Wolansky,Hartford Wolf Pack,61,25,19,44,0.311,0.41,0.72,1.574,-3,https://www.eliteprospects.com/player/257717/trey-fix-wolansky,2025-2026,ahl
3/22/2026,Cole Guttman,Ontario Reign,58,20,24,44,0.414,0.345,0.76,0.793,-1,https://www.eliteprospects.com/player/201449/cole-guttman,2025-2026,ahl
3/22/2026,Matej Blumel,Providence Bruins,47,17,27,44,0.574,0.362,0.94,0.34,20,https://www.eliteprospects.com/player/272376/matej-blumel,2025-2026,ahl
3/22/2026,Anthony Richard,Lehigh Valley Phantoms,56,17,27,44,0.482,0.304,0.79,0.464,-15,https://www.eliteprospects.com/player/155661/anthony-richard,2025-2026,ahl
3/22/2026,Philippe Daoust,Belleville Senators,54,13,31,44,0.574,0.241,0.81,0.444,-14,https://www.eliteprospects.com/player/574526/philippe-daoust,2025-2026,ahl
3/22/2026,Glenn Gawdin,Ontario Reign,62,13,31,44,0.5,0.21,0.71,1.113,-1,https://www.eliteprospects.com/player/192245/glenn-gawdin,2025-2026,ahl
3/22/2026,Ryan Ufko,Milwaukee Admirals,50,11,33,44,0.66,0.22,0.88,0.4,-12,https://www.eliteprospects.com/player/511993/ryan-ufko,2025-2026,ahl
3/22/2026,Ryan Suzuki,Chicago Wolves,57,11,33,44,0.579,0.193,0.77,0.491,14,https://www.eliteprospects.com/player/418345/ryan-suzuki,2025-2026,ahl
3/22/2026,Lukas Cormier,Henderson Silver Knights,45,7,37,44,0.822,0.156,0.98,0.356,3,https://www.eliteprospects.com/player/201780/lukas-cormier,2025-2026,ahl
3/22/2026,T.J. Tynan,Colorado Eagles,57,3,41,44,0.719,0.053,0.77,0.667,10,https://www.eliteprospects.com/player/45686/t.j.-tynan,2025-2026,ahl
3/22/2026,Isak Rosen,Rochester Americans,37,25,18,43,0.486,0.676,1.16,0.162,0,https://www.eliteprospects.com/player/420269/isak-rosen,2025-2026,ahl
3/22/2026,Ben Hemmerling,Henderson Silver Knights,57,21,22,43,0.386,0.368,0.75,0.281,29,https://www.eliteprospects.com/player/558211/ben-hemmerling,2025-2026,ahl
3/22/2026,Dominic Toninato,Rockford IceHogs,52,16,27,43,0.519,0.308,0.83,1.096,-8,https://www.eliteprospects.com/player/122004/dominic-toninato,2025-2026,ahl
3/22/2026,Jimmy Huntington,San Jose Barracuda,58,15,28,43,0.483,0.259,0.74,0.638,5,https://www.eliteprospects.com/player/254885/jimmy-huntington,2025-2026,ahl
3/22/2026,Kai Uchacz,Henderson Silver Knights,57,14,29,43,0.509,0.246,0.75,0.877,-2,https://www.eliteprospects.com/player/505754/kai-uchacz,2025-2026,ahl
3/22/2026,Sean Farrell,Laval Rocket,63,14,29,43,0.46,0.222,0.68,0.286,2,https://www.eliteprospects.com/player/386329/sean-farrell,2025-2026,ahl
3/22/2026,Matthew Phillips,San Diego Gulls,61,12,31,43,0.508,0.197,0.7,0.295,-14,https://www.eliteprospects.com/player/161060/matthew-phillips,2025-2026,ahl
3/22/2026,Andre Lee,Ontario Reign,55,25,17,42,0.309,0.455,0.76,0.782,12,https://www.eliteprospects.com/player/350001/andre-lee,2025-2026,ahl
3/22/2026,Nick Abruzzese,Syracuse Crunch,46,11,31,42,0.674,0.239,0.91,0.13,9,https://www.eliteprospects.com/player/201476/nick-abruzzese,2025-2026,ahl
3/22/2026,William Stromgren,Calgary Wranglers,56,10,32,42,0.571,0.179,0.75,0.679,-2,https://www.eliteprospects.com/player/486944/william-stromgren,2025-2026,ahl
3/22/2026,Matthew Seminoff,Texas Stars,59,21,20,41,0.339,0.356,0.69,0.305,16,https://www.eliteprospects.com/player/538928/matthew-seminoff,2025-2026,ahl
3/22/2026,Alexander Nylander,Toronto Marlies,54,17,24,41,0.444,0.315,0.76,0.185,3,https://www.eliteprospects.com/player/212641/alexander-nylander,2025-2026,ahl
3/22/2026,Ben Steeves,Charlotte Checkers,62,19,21,40,0.339,0.306,0.65,1.419,0,https://www.eliteprospects.com/player/510338/ben-steeves,2025-2026,ahl
3/22/2026,Fabian Lysell,Providence Bruins,53,15,25,40,0.472,0.283,0.75,0.887,12,https://www.eliteprospects.com/player/472769/fabian-lysell,2025-2026,ahl
3/22/2026,Mikael Pyyhtia,Cleveland Monsters,48,13,27,40,0.562,0.271,0.83,0.458,1,https://www.eliteprospects.com/player/470710/mikael-pyyhtia,2025-2026,ahl
3/22/2026,Matthew Poitras,Providence Bruins,58,13,27,40,0.466,0.224,0.69,0.724,2,https://www.eliteprospects.com/player/661581/matthew-poitras,2025-2026,ahl
3/22/2026,Tristen Nielsen,Colorado Eagles,57,23,16,39,0.281,0.404,0.68,0.807,9,https://www.eliteprospects.com/player/299754/tristen-nielsen,2025-2026,ahl
3/22/2026,Adam Beckman,Bridgeport Islanders,56,22,17,39,0.304,0.393,0.7,0.643,0,https://www.eliteprospects.com/player/291514/adam-beckman,2025-2026,ahl
3/22/2026,Chris Wagner,Springfield Thunderbirds,57,22,17,39,0.298,0.386,0.68,0.789,-15,https://www.eliteprospects.com/player/39429/chris-wagner,2025-2026,ahl
3/22/2026,Raphael Lavoie,Henderson Silver Knights,33,20,19,39,0.576,0.606,1.18,0.242,4,https://www.eliteprospects.com/player/335712/raphael-lavoie,2025-2026,ahl
3/22/2026,Vinni Lettieri,Toronto Marlies,47,12,27,39,0.574,0.255,0.83,0.638,5,https://www.eliteprospects.com/player/118656/vinni-lettieri,2025-2026,ahl
3/22/2026,Scott Perunovich,Tucson Roadrunners,55,7,32,39,0.582,0.127,0.71,0.873,0,https://www.eliteprospects.com/player/300906/scott-perunovich,2025-2026,ahl
3/22/2026,Liam Foudy,Bridgeport Islanders,49,22,16,38,0.327,0.449,0.78,0.245,-3,https://www.eliteprospects.com/player/397650/liam-foudy,2025-2026,ahl
3/22/2026,Isaac Howard,Bakersfield Condors,37,17,21,38,0.568,0.459,1.03,0.216,4,https://www.eliteprospects.com/player/603668/isaac-howard,2025-2026,ahl
3/22/2026,Jake Lucchini,Milwaukee Admirals,51,13,25,38,0.49,0.255,0.75,0.333,-11,https://www.eliteprospects.com/player/102374/jake-lucchini,2025-2026,ahl
3/22/2026,Brett Leason,Hershey Bears,45,12,26,38,0.578,0.267,0.84,0.8,9,https://www.eliteprospects.com/player/257755/brett-leason,2025-2026,ahl
