SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,POSITION,GAMES_PLAYED,GOALS,ASSISTS,POINTS,SOGPG,APG,GPG,PGP,DEF_WALL,PHYSICAL,HAT_TRICKS,PP_GOALS,PP_ASSISTS,PP_POINTS,SH_GOALS,SH_ASSISTS,SH_POINTS,GW_GOALS,GT_GOALS,OT_GOALS,SO_ATTEMPTS,SO_MISSES,SO_GOALS,SO_GOAL_PCT,PLUS_MINUS,SHOT_ATTEMPTS,SHOTS_ON_GOAL,SHOT_PCT,BLOCKED_SHOTS,BLOCKED_SHOTS_AGAINST,MISSED_SHOTS,HITS,HITS_RECEIVED,GIVEAWAYS,TAKEAWAYS,FACEOFFS,FACEOFF_WINS,FACEOFF_LOSSES,FACEOFF_PCT,PENALTIES,PIM,PENALTIES_DRAWN,PENALTY_MIN_DRAWN,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,6,PHI,18056,Rodrigo Abols,ROSTER,30.0,"6'4""",206.0,Latvia,Riga,False,C,42,3,7,10,1.02,0.17,0.07,0.24,16.8,20.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0.0,-1,88,43,7.0,24,22,23,49,39,14,11,303,159,144,52.5,8,22,7,20,2,611,335,133,146,26462,3740,2305,20417,PHI,Metropolitan,Eastern
2025-2026,20260228,10,PIT,5927,Noel Acciari,ROSTER,34.0,"5'10""",203.0,USA,"Johnston, RI",False,C,43,6,9,15,1.26,0.21,0.14,0.35,19.9,11.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,100,54,11.1,32,21,25,47,46,10,6,344,187,157,54.4,3,17,3,9,1,769,363,196,215,34113,6506,2784,24823,PIT,Metropolitan,Eastern
2025-2026,20260228,30,UTA,5234,Andrew Agozzino,ASSIGNED_TO_MINORS,35.0,"5'10""",187.0,Canada,"Kleinburg, ON",False,LW,2,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1,0,1,4,1,1,1,7,3,4,42.9,0,0,1,2,0,20,12,4,4,736,91,0,645,UTA,Central,Western
2025-2026,20260228,22,COL,28441,Jack Ahcan,ASSIGNED_TO_MINORS,28.0,"5'8""",185.0,USA,"Savage, MN",True,D,9,0,2,2,0.56,0.22,0.0,0.22,3.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,14,5,0.0,6,7,2,6,8,5,0,0,0,0,0.0,0,0,0,0,0,140,97,19,24,6180,867,391,4922,COL,Central,Western
2025-2026,20260228,3,CAR,5630,Sebastian Aho,ROSTER,28.0,"6'0""",176.0,Finland,Rauma,False,C,58,21,37,58,2.26,0.64,0.36,1.0,14.1,19.2,7,5,13,18,1,2,3,4,0,2,2,1,0,0.0,12,281,131,16.0,17,56,94,51,49,78,25,884,446,438,50.5,12,32,14,28,0,1309,591,261,478,68773,14654,4246,49873,CAR,Metropolitan,Eastern
2025-2026,20260228,13,OTT,12009,Michael Amadio,ROSTER,29.0,"6'1""",204.0,Canada,"Sault Ste. Marie, ON",False,RW,58,8,14,22,1.19,0.24,0.14,0.38,24.1,9.7,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,4,135,69,11.6,31,26,40,81,73,42,25,15,7,8,46.7,7,14,11,22,0,1312,676,280,364,55059,8661,4224,42174,OTT,Atlantic,Eastern
2025-2026,20260228,21,VAN,39762,Nils Aman,ASSIGNED_TO_MINORS,26.0,"6'2""",179.0,Sweden,Avesta,True,C,2,0,0,0,0.5,0.0,0.0,0.0,0.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,1,0.0,1,2,0,2,1,1,0,2,1,1,50.0,0,0,0,0,0,23,19,1,3,1039,48,31,960,VAN,Pacific,Western
2025-2026,20260228,14,MTL,5513,Josh Anderson,ROSTER,31.0,"6'3""",227.0,Canada,"Burlington, ON",False,RW,52,12,8,20,1.21,0.15,0.23,0.38,26.0,35.7,4,0,0,0,2,1,3,1,0,0,0,0,0,0.0,-7,123,63,19.0,31,28,32,95,25,33,6,30,21,9,70.0,19,44,17,40,2,962,451,293,229,44793,8171,4655,31967,MTL,Atlantic,Eastern
2025-2026,20260228,28,LAK,18073,Michael Anderson,ROSTER,26.0,"5'11""",194.0,USA,"Roseville, MN",False,D,56,2,7,9,0.8,0.12,0.04,0.16,42.5,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,120,45,4.4,80,47,28,63,96,40,10,0,0,0,0.0,6,14,10,20,0,1295,741,272,284,67244,7895,5065,54284,LAK,Pacific,Western
2025-2026,20260228,23,CGY,5647,Rasmus Andersson,ROSTER,29.0,"6'1""",214.0,Sweden,Malmö,False,D,48,10,20,30,2.33,0.42,0.21,0.62,42.2,36.4,3,4,5,9,0,0,0,0,0,0,2,0,0,0.0,3,259,112,8.9,90,83,64,29,71,66,18,0,0,0,0.0,21,53,16,35,1,1614,751,336,538,69799,9948,4565,55248,CGY,Pacific,Western
2025-2026,20260228,23,CGY,5647,Rasmus Andersson,ROSTER,29.0,"6'1""",214.0,Sweden,Malmö,False,D,48,10,20,30,2.33,0.42,0.21,0.62,42.2,36.4,3,4,5,9,0,0,0,0,0,0,2,0,0,0.0,3,259,112,8.9,90,83,64,29,71,66,18,0,0,0,0.0,21,53,16,35,1,1614,751,336,538,69799,9948,4565,55248,CGY,Pacific,Western
2025-2026,20260228,142,VGK,5647,Rasmus Andersson,ROSTER,29.0,"6'1""",214.0,Sweden,Malmö,False,D,10,1,3,4,2.4,0.3,0.1,0.4,9.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,43,24,4.2,23,11,8,1,9,10,1,0,0,0,0.0,2,4,1,2,0,307,163,82,63,13187,2227,1237,9723,VGK,Pacific,Western
2025-2026,20260228,142,VGK,5647,Rasmus Andersson,ROSTER,29.0,"6'1""",214.0,Sweden,Malmö,False,D,10,1,3,4,2.4,0.3,0.1,0.4,9.9,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,43,24,4.2,23,11,8,1,9,10,1,0,0,0,0.0,2,4,1,2,0,307,163,82,63,13187,2227,1237,9723,VGK,Pacific,Western
2025-2026,20260228,6,PHI,38011,Emil Andrae,ROSTER,24.0,"5'8""",181.0,Sweden,Västervik,True,D,41,1,10,11,0.63,0.24,0.02,0.27,23.4,11.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,11,89,26,3.8,40,41,22,47,92,29,5,0,0,0,0.0,8,16,8,16,0,890,615,83,194,41274,3018,926,37376,PHI,Metropolitan,Eastern
2025-2026,20260228,16,DET,5763,Mason Appleton,ROSTER,30.0,"6'2""",193.0,USA,"Green Bay, WI",False,C,49,5,6,11,0.96,0.12,0.1,0.22,18.5,14.9,1,0,0,0,0,0,0,2,0,0,0,0,0,0.0,-4,91,47,10.6,23,19,25,65,49,20,0,19,5,14,26.3,7,30,10,20,0,902,444,173,290,40129,5405,2018,32706,DET,Atlantic,Eastern
2025-2026,20260228,28,LAK,5505,Joel Armia,ROSTER,32.0,"6'4""",218.0,Finland,Pori,False,RW,53,10,10,20,1.25,0.19,0.19,0.38,19.3,16.6,3,1,0,1,3,1,4,0,0,0,1,0,0,0.0,2,144,66,15.2,28,43,35,55,35,38,25,73,28,45,38.4,12,24,3,6,0,990,441,290,269,45575,9282,5087,31206,LAK,Pacific,Western
2025-2026,20260228,11,BOS,5538,Viktor Arvidsson,ROSTER,32.0,"5'9""",180.0,Sweden,Skellefteå,False,LW,46,16,14,30,2.76,0.3,0.35,0.65,13.2,13.1,5,4,3,7,0,0,0,5,0,0,1,0,1,100.0,9,252,127,12.6,26,59,66,16,72,33,10,11,7,4,63.6,9,20,11,22,0,824,424,206,212,39930,8880,2008,29435,BOS,Atlantic,Eastern
2025-2026,20260228,11,BOS,15191,Jonathan Aspirot,ROSTER,26.0,"6'0""",209.0,Canada,"Mascouche, QC",False,D,38,2,6,8,0.61,0.16,0.05,0.21,29.9,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23,66,23,8.7,51,23,20,61,84,31,6,0,0,0,0.0,12,33,6,21,3,843,548,169,128,38027,6174,2718,29135,BOS,Atlantic,Eastern
