SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20260228,29,Anaheim Ducks,ANA,58,32,23,1.39,196,204,3.38,3.52,-0.14,30.26,11.17,67,47,175,32,18.3,183,41,77.6,95.9,227,556,3.283,56.48,33.48,27.21,60.99,44.54,0.48,27.82,4.18,ANA,Pacific,Western
2024-2025,20260228,11,Boston Bruins,BOS,58,33,20,1.65,199,181,3.43,3.12,0.31,27.1,12.66,71,52,168,45,26.8,209,50,76.1,102.9,288,771,3.886,66.35,34.07,37.71,73.04,52.79,0.55,31.74,1.26,BOS,Atlantic,Eastern
2024-2025,20260228,15,Buffalo Sabres,BUF,59,34,19,1.79,200,179,3.39,3.03,0.36,27.85,12.17,74,44.5,175,35,20,160,28,82.5,102.5,213,530,2.979,57.54,60.42,57.74,47.41,55.78,0.56,32.8,1.2,BUF,Atlantic,Eastern
2024-2025,20260228,23,Calgary Flames,CGY,57,24,27,0.89,146,168,2.56,2.95,-0.39,29,8.83,54,49,173,28,16.2,164,29,82.3,98.5,238,685,3.545,26.94,60.03,59.71,70.35,54.26,0.43,24.49,-0.49,CGY,Pacific,Western
2024-2025,20260228,3,Carolina Hurricanes,CAR,58,37,15,2.47,202,164,3.48,2.83,0.65,31.93,10.91,80,50.5,176,39,22.2,159,32,79.9,102.1,205,461,2.692,65.26,61.98,63.01,46.46,59.18,0.6,34.91,2.09,CAR,Metropolitan,Eastern
2024-2025,20260228,20,Chicago Blackhawks,CHI,58,22,27,0.81,156,184,2.69,3.17,-0.48,24.72,10.88,53,47.3,166,32,19.3,175,26,85.1,104.4,220,551,3.131,32.01,61.55,52.89,35.42,45.47,0.42,24.28,-2.28,CHI,Central,Western
2024-2025,20260228,22,Colorado Avalanche,COL,57,38,10,3.8,218,140,3.82,2.46,1.36,34.19,11.19,85,51.1,185,28,15.1,160,26,83.8,98.9,190,405,2.396,69.41,80.19,82.73,23.39,63.93,0.71,40.29,-2.29,COL,Central,Western
2024-2025,20260228,19,Columbus Blue Jackets,CBJ,57,29,21,1.38,181,180,3.18,3.16,0.02,29.96,10.6,65,50.9,135,27,20,162,37,77.2,97.2,198,451,2.801,50.86,47.64,44.92,44.09,46.88,0.5,28.68,0.32,CBJ,Metropolitan,Eastern
2024-2025,20260228,27,Dallas Stars,DAL,58,35,14,2.5,197,158,3.4,2.72,0.68,25.67,13.23,79,52.2,169,51,30.2,175,35,80,110.2,207,484,2.731,69,64.5,65.52,38.25,59.32,0.61,35.37,-0.37,DAL,Central,Western
2024-2025,20260228,16,Detroit Red Wings,DET,59,34,19,1.79,176,173,2.98,2.93,0.05,28.2,10.58,74,50.8,183,43,23.5,153,32,79.1,102.6,196,459,2.697,48.61,56.92,59.15,27.1,47.95,0.51,30,4,DET,Atlantic,Eastern
2024-2025,20260228,24,Edmonton Oilers,EDM,60,29,23,1.26,211,198,3.52,3.3,0.22,30.08,11.69,66,52.7,159,53,33.3,166,38,77.1,110.4,208,568,3.176,77.2,38.25,39.63,36.03,47.78,0.53,31.93,-2.93,EDM,Pacific,Western
2024-2025,20260228,4,Florida Panthers,FLO,59,30,26,1.15,181,194,3.07,3.29,-0.22,29.17,10.52,63,47.9,212,42,19.8,206,37,82,101.8,295,717,3.724,48.49,43.68,40.32,86.97,54.86,0.47,27.46,2.54,FLA,Atlantic,Eastern
2024-2025,20260228,28,Los Angeles Kings,LAK,58,23,21,1.1,151,169,2.6,2.91,-0.31,27.34,9.52,60,48.2,170,28,16.5,185,46,75.1,91.6,218,508,2.888,27.24,47.49,49.52,45.29,42.38,0.44,25.75,-2.75,LAK,Pacific,Western
2024-2025,20260228,25,Minnesota Wild,MIN,60,35,15,2.33,203,173,3.38,2.88,0.5,28.9,11.71,80,46.2,197,51,25.9,152,35,77,102.9,179,412,2.494,65.12,56.43,59.57,45.89,56.75,0.58,34.76,0.24,MIN,Central,Western
2024-2025,20260228,14,Montreal Canadiens,MTL,58,32,17,1.88,202,187,3.48,3.22,0.26,26.21,13.29,73,50.8,164,41,25,186,44,76.3,101.3,249,592,3.294,65.72,38.3,37.79,62.86,51.17,0.54,31.25,0.75,MTL,Atlantic,Eastern
2024-2025,20260228,18,Nashville Predators,NSH,58,27,24,1.12,173,200,2.98,3.45,-0.47,28.55,10.45,61,51.4,171,38,22.2,175,35,80,102.2,222,500,3.058,47.05,42.52,34.51,43.41,41.87,0.43,24.78,2.22,NSH,Central,Western
