SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,POSITION,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,GAMES_PLAYED,GOALS,ASSISTS,POINTS,WINS,LOSSES,WL_RATIO,OT_WINS,OT_LOSSES,SO_WINS,SO_LOSSES,SO_WL_RATIO,GOALS_AGAINST,EVEN_STR_GOALS_AGAINST,PP_GOALS_AGAINST,SH_GOALS_AGAINST,SHOTS_AGAINST,EVEN_STR_SHOTS_AGAINST,PP_SHOTS_AGAINST,SH_SHOTS_AGAINST,OT_GOALS_AGAINST,SAVES,SAVESPG,EVEN_STR_SAVES,PP_SAVES,SH_SAVES,GAA,SAVE_PCT,BRICK_WALL,SHUTOUTS,GAMES_STARTED,CREDIT_FOR_GAME,SO_SAVE_PCT,SO_GA,MIN_PLAYED,PENALTIES,PIM,GOONY_BIG_PADS,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,12,TOR,56666,Artur Akhtyamov,G,ASSIGNED_TO_MINORS,24,"6'2""",170,Russia,Kazan,True,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,5,5,0,0,0,5,5.0,5,0,0,0.0,1.0,100.0,0,0,0,0.0,0,11,0,0,0.0,0,1,0,0,0,632,0,0,0,TOR,Atlantic,Eastern
2025-2026,20260228,7,NJD,5107,Jake Allen,G,ROSTER,35,"6'2""",195,Canada,"Fredericton, NB",False,29,0,1,1,12,15,0.8,1,1,3,0,inf,75,67,8,0,797,687,94,16,1,723,24.93,621,86,16,2.641,0.907,80.67777778,1,24,28,0.88,1,1704,0,0,0.0,0,109,0,0,0,102245,0,0,0,NJD,Metropolitan,Eastern
2025-2026,20260228,3,CAR,5109,Frederik Andersen,G,ROSTER,36,"6'4""",238,Denmark,Herning,False,22,0,0,0,7,10,0.7,1,5,1,2,0.5,72,57,13,2,560,458,79,23,3,488,22.18,401,66,21,3.26,0.871,75.43888889,0,22,22,0.75,3,1325,2,4,2.5,0,92,0,0,0,79499,0,0,0,CAR,Metropolitan,Eastern
2025-2026,20260228,18,NSH,28463,Justus Annunen,G,ROSTER,25,"6'4""",210,Finland,Kempele,True,19,0,0,0,6,7,0.86,0,2,0,0,,51,39,12,0,445,358,76,11,2,395,20.79,320,64,11,3.156,0.888,76.86666667,0,8,15,0.0,0,970,0,0,0.0,0,67,0,0,0,58174,0,0,0,NSH,Central,Western
2025-2026,20260228,26,SJS,28527,Yaroslav Askarov,G,ROSTER,23,"6'3""",176,Russia,Omsk,True,36,0,0,0,17,16,1.06,6,2,2,0,inf,115,89,22,4,1026,814,183,29,2,912,25.33,726,161,25,3.517,0.889,74.91111111,0,33,35,1.0,0,1962,0,0,0.0,0,136,0,0,0,117712,0,0,0,SJS,Pacific,Western
2025-2026,20260228,17,STL,5908,Jordan Binnington,G,ROSTER,32,"6'1""",174,Canada,"Richmond Hill, ON",False,32,0,1,1,8,17,0.47,0,6,0,2,0.0,108,82,25,1,794,674,100,20,4,686,21.44,592,75,19,3.652,0.864,72.91111111,1,30,31,0.5,2,1775,2,4,2.5,0,111,0,0,0,106472,0,0,0,STL,Central,Western
2025-2026,20260228,22,COL,15438,Mackenzie Blackwood,G,ROSTER,29,"6'4""",225,Canada,"Thunder Bay, ON",False,23,0,0,0,16,6,2.67,2,1,0,0,,51,37,11,3,606,486,103,17,1,555,24.13,449,92,14,2.285,0.916,83.10555556,3,21,23,0.0,0,1339,0,0,0.0,0,86,0,0,0,80352,0,0,0,COL,Central,Western
2025-2026,20260228,4,FLO,4890,Sergei Bobrovsky,G,ROSTER,37,"6'2""",187,Russia,Novokuznetsk,False,41,0,1,1,22,17,1.29,2,1,3,0,inf,122,92,27,3,968,780,153,35,1,846,20.63,688,126,32,3.078,0.874,76.6,3,40,40,0.75,2,2378,3,9,5.62,1,153,0,0,0,142671,0,0,0,FLA,,
2025-2026,20260228,3,CAR,38744,Brandon Bussi,G,ROSTER,27,"6'5""",205,USA,"South Beach, NY",True,28,0,1,1,24,3,8.0,4,1,2,1,2.0,63,46,16,1,659,555,84,20,0,597,21.32,509,69,19,2.226,0.906,82.93333333,2,26,28,0.75,2,1698,1,2,1.25,0,105,0,0,0,101895,0,0,0,CAR,Metropolitan,Eastern
2025-2026,20260228,29,ANA,56256,Vyacheslav Buteyets,G,ASSIGNED_TO_OTHER,23,"6'4""",185,Russia,,False,1,0,0,0,0,0,,0,0,0,0,,3,2,1,0,13,12,1,0,0,10,10.0,10,0,0,9.0,0.769,38.45,0,0,0,0.0,0,20,0,0,0.0,0,1,0,0,0,1200,0,0,0,ANA,Pacific,Western
