season,snapshot_date,team_id,team,team_abbr,games_played,wins,losses,wl_ratio,gf,ga,gf_pg,ga_pg,gpg_diff,sf_pg,shot_pct,pts,fo_pct,pp,ppg,pp_pct,pk,pkga,pk_pct,st_pct,p,pim,unf_errors,off,def,goal,grit,balance,pyth_win_pct,pyth_wins,wins_above_expected,team_abbr_canon,division,conference,source_file
2024,2/1/2026,29,Anaheim Ducks,NA,54,28,23,1.22,177,190,3.28,3.52,-0.24,30.22,10.85,59,47,163,29,17.8,175,39,77.7,95.5,216,531,3.333,53.18,32.61,26.31,61.91,43.5,0.46,25.1,2.9,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,11,Boston Bruins,NA,55,32,20,1.6,186,170,3.38,3.09,0.29,27.02,12.52,67,52,155,42,27.1,198,45,77.3,104.4,269,727,3.855,65.83,37.98,40.43,73.75,54.5,0.54,29.96,2.04,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,15,Buffalo Sabres,NA,54,31,18,1.72,185,164,3.43,3.04,0.39,27.8,12.33,67,44.2,158,31,19.6,145,25,82.8,102.4,196,490,3.003,59.1,59.56,57.14,49.41,56.3,0.56,30.24,0.76,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,23,Calgary Flames,NA,54,22,26,0.85,136,160,2.52,2.96,-0.44,29.06,8.67,50,49.3,166,26,15.7,157,27,82.8,98.5,228,662,3.598,24.2,59.33,58.98,72.58,53.77,0.42,22.69,-0.69,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,3,Carolina Hurricanes,NA,54,33,15,2.2,188,155,3.48,2.87,0.61,31.91,10.91,72,50.5,165,36,21.8,150,29,80.7,102.5,193,437,2.738,65.82,61.2,61.24,47.98,59.06,0.6,32.14,0.86,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,20,Chicago Blackhawks,NA,55,21,25,0.84,148,173,2.69,3.15,-0.46,24.96,10.78,51,47.3,154,30,19.5,169,25,85.2,104.7,212,535,3.169,31.67,61.21,52.87,37.72,45.87,0.42,23.19,-2.19,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,22,Colorado Avalanche,NA,53,36,8,4.5,208,129,3.92,2.43,1.49,34.23,11.47,81,50.9,174,27,15.5,144,23,84,99.5,172,361,2.329,74.6,80.97,83.98,22.07,65.4,0.72,38.29,-2.29,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,19,Columbus Blue Jackets,NA,54,27,20,1.35,172,176,3.19,3.26,-0.07,30.06,10.6,61,50.9,131,27,20.6,153,36,76.5,97.1,187,429,2.848,52.39,41.81,39.52,44.81,44.63,0.49,26.41,0.59,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,27,Dallas Stars,NA,55,32,14,2.29,184,150,3.35,2.73,0.62,25.47,13.13,73,52,159,48,30.2,164,33,79.9,110.1,193,453,2.715,68.22,63.2,64.54,37.01,58.24,0.6,33.05,-1.05,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,16,Detroit Red Wings,NA,56,32,18,1.78,171,168,3.05,3,0.05,28.38,10.76,70,51,175,41,23.4,146,30,79.5,102.9,185,431,2.71,51.19,54.63,55.83,26.04,46.92,0.51,28.46,3.54,NA,NA,NA,nhl_team_stats_20260201.csv
2024,2/1/2026,24,Edmonton Oilers,NA,56,28,20,1.4,193,182,3.45,3.25,0.2,29.75,11.58,64,52.4,149,48,32.2,154,33,78.6,110.8,192,520,3.121,74.79,42.73,43.12,37.5,49.54,0.53,29.67,-1.67,NA,NA,NA,nhl_team_stats_20260201.csv
