Name,Pos,Team,GP,G,A,PTS,+/-,PIM,PPG,PPA,SHG,SHA,Pt/G,FOW,FO,WF%,PIMPG,SH,SH%,BLK,Hits,H/GP,TOI,TOI/GP
Kendall Coyne Schofield,F,MIN,15,10,6,16,13,0,0,1,0,0,1.07,1,1,100,0,48,20.8,5,5,0.33,250:40:00,16:42
Rebecca Leslie,F,OTT,17,10,6,16,3,0,3,2,0,1,0.94,0,8,0,0,51,19.6,3,3,0.18,314:30:00,18:30
Brianne Jenner,F,OTT,17,8,8,16,2,6,3,3,1,0,0.94,168,300,56,0.35,48,16.7,5,13,0.76,325:58:00,19:10
Britta Curl-Salemme,F,MIN,16,7,9,16,11,10,0,1,0,0,1,21,42,50,0.63,29,24.1,18,19,1.19,283:49:00,17:44
Taylor Heise,F,MIN,16,3,13,16,11,6,0,2,0,0,1,113,232,48.7,0.38,42,7.1,3,13,0.81,274:31:00,17:09
Kelly Pannek,F,MIN,16,8,7,15,9,2,3,1,0,0,0.94,163,290,56.2,0.13,34,23.5,17,2,0.13,271:56:00,16:59
Marie-Philip Poulin,F,MTL,16,7,8,15,5,20,2,1,0,1,0.94,185,289,64,1.25,49,14.3,11,19,1.19,317:57:00,19:52
Julia Gosling,F,SEA,15,6,7,13,0,8,1,1,0,0,0.87,1,5,20,0.53,56,10.7,7,7,0.47,274:00:00,18:16
Kristýna Kaltounková,F,NY,17,11,1,12,2,33,2,0,0,0,0.71,14,31,45.2,1.94,71,15.5,9,26,1.53,337:00:00,19:49
Daryl Watts,F,TOR,16,6,6,12,-1,0,1,0,0,0,0.75,1,5,20,0,58,10.3,8,2,0.13,280:47:00,17:32
Megan Keller,LD,BOS,15,5,7,12,0,0,4,2,0,0,0.8,0,0,0,0,36,13.9,10,22,1.47,405:02:00,27:00:00
Abby Roque,F,MTL,16,5,7,12,2,27,0,2,0,0,0.75,80,145,55.2,1.69,37,13.5,5,16,1,320:13:00,20:00
Casey O'Brien,F,NY,17,5,7,12,-4,0,3,2,1,0,0.71,161,299,53.8,0,36,13.9,5,3,0.18,342:42:00,20:09
Jessie Eldridge,F,SEA,15,5,6,11,-3,4,0,1,0,0,0.73,3,8,37.5,0.27,29,17.2,4,6,0.4,255:36:00,17:02
Alina Müller,C,BOS,15,3,8,11,5,0,1,4,0,0,0.73,98,159,61.6,0,34,8.8,11,12,0.8,307:37:00,20:30
Laura Stacey,F,MTL,17,3,8,11,7,10,1,2,1,0,0.65,0,1,0,0.59,78,3.8,7,9,0.53,330:47:00,19:27
Sarah Fillier,F,NY,16,1,10,11,-2,2,0,5,0,1,0.69,63,143,44.1,0.13,58,1.7,8,23,1.44,323:11:00,20:11
Alex Carpenter,F,SEA,15,5,5,10,-6,2,2,2,0,0,0.67,213,354,60.2,0.13,45,11.1,8,1,0.07,305:48:00,20:23
Hilary Knight,F,SEA,14,3,7,10,-2,4,3,2,0,0,0.71,3,5,60,0.29,43,7,6,12,0.86,285:06:00,20:21
Mae Batherson,D,MIN,16,2,8,10,5,2,1,4,0,0,0.63,0,3,0,0.13,25,8,9,3,0.19,314:18:00,19:38
Grace Zumwinkle,F,MIN,16,6,3,9,-4,4,2,2,0,0,0.56,0,6,0,0.25,42,14.3,11,2,0.13,263:34:00,16:28
Hannah Bilka,F,SEA,14,4,5,9,-6,2,0,5,0,0,0.64,1,2,50,0.14,38,10.5,7,8,0.57,251:12:00,17:56
Susanna Tapani,C,BOS,15,4,5,9,3,6,0,4,0,0,0.6,106,236,44.9,0.4,31,12.9,15,8,0.53,293:05:00,19:32
Claire Thompson,D,VAN,15,3,6,9,1,6,1,0,0,1,0.6,0,0,0,0.4,28,10.7,18,7,0.47,325:51:00,21:43
Emma Maltais,F,TOR,18,3,6,9,-1,12,0,2,0,0,0.5,123,230,53.5,0.67,32,9.4,14,31,1.72,344:36:00,19:08
Gabbie Hughes,F,OTT,15,2,7,9,-6,8,1,3,0,0,0.6,93,198,47,0.53,21,9.5,5,13,0.87,236:01:00,15:44
Kendall Cooper,D,MIN,16,1,8,9,8,0,0,3,0,0,0.56,0,0,0,0,27,3.7,8,5,0.31,354:26:00,22:09
Blayre Turnbull,F,TOR,18,4,4,8,-3,6,1,1,1,0,0.44,135,295,45.8,0.33,38,10.5,19,35,1.94,328:01:00,18:13
Jenn Gardiner,F,VAN,17,3,5,8,-5,0,0,1,1,0,0.47,1,4,25,0,35,8.6,5,15,0.88,303:44:00,17:52
Abby Hustler,F,MIN,16,2,6,8,9,2,1,1,0,0,0.5,0,2,0,0.13,29,6.9,5,19,1.19,264:32:00,16:32
Haley Winn,RD,BOS,15,1,7,8,-2,4,0,4,0,0,0.53,0,0,0,0.27,45,2.2,21,12,0.8,422:11:00,28:08:00
