SEASON,RANK,TEAM,PLAYOFF,AVG_AGE,GP,W,L,OL,PTS,PTS_PCT,GF,GA,SOW,SOL,SRS,SOS,GFPG,GAPG,PP,PPO,PP_PCT,PPA,PPOA,PK_PCT,SH,SHA,PIMPG,OPIMPG,S,S_PCT,SA,SV_PCT,SO,PDO,CF,CA,CF_PCT,FF,FA,FF_PCT,XGF,XGA,AGF,AGA,AX_DIFF,SCF,SCA,SCF_PCT,HDF,HDA,HDF_PCT,HDGF,HDC_PCT,HDGA,HDCO_PCT
2021_2022,23,Anaheim Ducks,0,27.9,82,31,37,14,76,0.463,228,266,4,5,-0.45,0.03,2.78,3.24,48,219,21.92,43,224,80.8,6,4,9.3,9.8,2393,9.5,2725,0.902,4,99.3,3451,3799,47.6,2627,2894,47.6,169.8,186.9,154,186,-15,1672,1828,47.8,517,542,48.8,72,12.2,61,10.1
2021_2022,31,Arizona Coyotes,0,28,82,25,50,7,57,0.348,206,309,1,4,-1.23,0.06,2.51,3.77,28,202,13.86,64,256,75,3,4,10.2,8.2,2121,9.7,2910,0.894,1,99.7,3118,3977,43.9,2346,3052,43.5,148.6,206.2,157,221,-6,1542,1972,43.9,480,627,43.4,66,12.1,95,13.2
2021_2022,10,Boston Bruins,1,28.5,82,51,26,5,107,0.652,253,218,2,2,0.38,-0.05,3.09,2.66,50,236,21.19,49,262,81.3,5,6,9.9,9.4,2962,8.5,2354,0.907,4,99.1,3820,3185,54.5,3048,2412,55.8,199.5,143.5,172,144,-28,1839,1476,55.5,588,453,56.5,80,12,71,13.5
2021_2022,24,Buffalo Sabres,0,27.5,82,32,39,11,75,0.457,229,287,3,3,-0.69,0.02,2.79,3.5,47,222,21.17,50,212,76.42,6,6,8.1,7.9,2451,9.3,2702,0.894,1,99,3368,3582,48.5,2583,2854,47.5,158.5,187,158,200,-14,1575,1788,46.8,454,558,44.9,66,12.7,82,12.8
2021_2022,6,Calgary Flames,1,28.8,82,50,21,11,111,0.677,291,206,2,2,0.99,-0.05,3.55,2.51,54,236,22.88,42,250,83.2,7,3,9.1,8.6,2908,10,2374,0.913,11,100.9,4108,3263,55.7,3139,2532,55.4,199.1,157,196,139,15,2040,1606,56,578,470,55.2,66,10.2,54,10.3
2021_2022,3,Carolina Hurricanes,1,28.3,82,54,20,8,116,0.707,277,200,1,2,0.88,-0.05,3.38,2.44,51,232,21.98,33,276,88.04,4,3,9.2,7.7,2798,9.9,2310,0.913,6,100.8,4038,3130,56.3,3112,2456,55.9,187.4,163.7,193,141,28,1944,1647,54.1,666,528,55.8,90,11.9,66,11.1
2021_2022,27,Chicago Blackhawks,0,28,82,28,42,12,68,0.415,213,289,6,2,-0.83,0.05,2.6,3.52,47,245,19.18,53,223,76.23,2,6,7.9,8.7,2362,9,2703,0.893,4,99,3310,3888,46,2413,2839,45.9,157.3,179,143,192,-27,1549,1860,45.4,411,496,45.3,52,11.2,79,13.7
2021_2022,2,Colorado Avalanche,1,28.2,82,56,19,7,119,0.726,308,232,4,2,0.91,-0.04,3.76,2.83,67,279,24.01,48,236,79.66,6,5,9,10.4,2874,10.7,2625,0.912,7,101.2,3847,3411,53,2800,2583,52,187.1,172.9,198,153,31,1885,1729,52.2,544,582,48.3,75,12.1,75,11.4
2021_2022,21,Columbus Blue Jackets,0,26.6,82,37,38,7,81,0.494,258,297,4,3,-0.44,0.02,3.15,3.62,41,220,18.64,51,238,78.57,7,6,7.7,7.2,2463,10.5,2887,0.897,2,99.9,3562,3881,47.9,2677,3038,46.8,162.7,212.4,177,214,13,1685,1960,46.2,489,566,46.4,73,13,71,11.1
2021_2022,15,Dallas Stars,1,29.4,82,46,30,6,98,0.598,233,244,5,2,-0.09,0.01,2.84,2.98,54,241,22.41,46,219,79,7,5,6.7,7.5,2486,9.4,2545,0.904,2,99.7,3538,3690,48.9,2650,2738,49.2,176,172.7,147,159,-15,1835,1732,51.4,578,516,52.8,67,10.4,64,11
