artist_name,artist_id,followers,popularity,avg_top_track_popularity,estimated_revenue,date
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6421418,86,82.9,42586.84418,6/17/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23440182,92,89,166894.0958,6/17/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22072213,91,83.6,147618.9605,6/17/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13183523,82,74.2,78257.39253,6/17/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2127432,79,75.3,12815.65037,6/17/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170088,56,51.5,700.76256,6/17/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6173599,82,79.6,39313.47843,6/17/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2261432,80,77.2,13966.60403,6/17/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6427297,86,82.9,42625.8337,6/18/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23463718,92,89.2,167437.0916,6/18/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22089832,91,83.7,147913.5151,6/18/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13184255,82,74.2,78261.73768,6/18/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2128141,79,75.3,12819.92138,6/18/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170091,56,51.5,700.77492,6/18/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6176803,82,79.6,39333.8815,6/18/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2264478,80,77.4,14021.64778,6/18/2025
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6432916,86,82.9,42663.09891,6/19/2025
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23487848,92,89.2,167609.2833,6/19/2025
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22108668,91,83.7,148039.6409,6/19/2025
Anitta,7FNnA9vBm6EKceENgCGRMb,13185062,82,74.1,78161.04754,6/19/2025
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2128882,79,75.3,12824.38517,6/19/2025
RAC,4AGwPDdh1y8hochNzHy5HC,170096,56,51.5,700.79552,6/19/2025
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6180025,82,72.2,35695.8244,6/19/2025
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2267414,81,75.4,13677.04125,6/19/2025
