artist_name,artist_id,followers,popularity,avg_top_track_popularity,estimated_revenue,date
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6449514,86,83.0,42824.77296,2025-06-22
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23545134,92,89.3,168206.43729600002,2025-06-22
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22135757,91,83.9,148575.20098400002,2025-06-22
Anitta,7FNnA9vBm6EKceENgCGRMb,13185537,82,74.1,78163.863336,2025-06-22
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2130526,79,75.4,12851.332832,2025-06-22
RAC,4AGwPDdh1y8hochNzHy5HC,170065,56,51.5,700.6678,2025-06-22
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6186711,82,0.0,0.0,2025-06-22
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2275427,81,76.6,13943.816655999995,2025-06-22
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,6449514,86,83.0,42824.77296,2025-06-22
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,23545134,92,89.3,168206.43729600002,2025-06-22
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,22135757,91,83.9,148575.20098400002,2025-06-22
Anitta,7FNnA9vBm6EKceENgCGRMb,13185537,82,74.1,78163.863336,2025-06-22
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,2130526,79,75.4,12851.332832,2025-06-22
RAC,4AGwPDdh1y8hochNzHy5HC,170065,56,51.5,700.6678,2025-06-22
Clairo,3l0CmX0FuQjFxr8SK7Vqag,6186711,82,76.7,37961.658696000006,2025-06-22
GloRilla,2qoQgPAilErOKCwE2Y8wOG,2275427,81,76.6,13943.816655999997,2025-06-22
